N	Total Time	Average CPE
1	412	412.00
2	254	127.00
3	236	78.67
4	221	55.25
5	206	41.20
6	242	40.33
7	253	36.14
8	266	33.25
9	286	31.78
10	308	30.80
11	322	29.27
12	318	26.50
13	364	28.00
14	358	25.57
15	398	26.53
16	462	28.88
17	970	57.06
18	782	43.44
19	711	37.42
20	728	36.40
21	744	35.43
22	769	34.95
23	795	34.57
24	790	32.92
25	850	34.00
26	854	32.85
27	828	30.67
28	852	30.43
29	915	31.55
30	886	29.53
31	902	29.10
32	894	27.94
33	1462	44.30
34	1404	41.29
35	1409	40.26
36	1432	39.78
37	1433	38.73
38	1461	38.45
39	1393	35.72
40	1428	35.70
41	1441	35.15
42	1489	35.45
43	1448	33.67
44	1480	33.64
45	1489	33.09
46	1530	33.26
47	1550	32.98
48	1546	32.21
49	1530	31.22
50	1590	31.80
51	1585	31.08
52	1573	30.25
53	1601	30.21
54	1603	29.69
55	1642	29.85
56	1638	29.25
57	1654	29.02
58	1675	28.88
59	1684	28.54
60	1700	28.33
61	1734	28.43
62	1727	27.85
63	1726	27.40
64	1752	27.38
65	2501	38.48
66	2245	34.02
67	2220	33.13
68	2330	34.26
69	2281	33.06
70	2328	33.26
71	2316	32.62
72	2327	32.32
73	2367	32.42
74	2380	32.16
75	2392	31.89
76	2401	31.59
77	2378	30.88
78	2408	30.87
79	2452	31.04
80	2460	30.75
81	2429	29.99
82	2504	30.54
83	2543	30.64
84	2511	29.89
85	2498	29.39
86	2556	29.72
87	2542	29.22
88	2545	28.92
89	2590	29.10
90	2574	28.60
91	2572	28.26
92	2572	27.96
93	2585	27.80
94	2616	27.83
95	2694	28.36
96	2698	28.10
97	2690	27.73
98	2698	27.53
99	2720	27.47
100	2849	28.49
101	2783	27.55
102	2761	27.07
103	2772	26.91
104	2804	26.96
105	2794	26.61
106	2800	26.42
107	2835	26.50
108	2840	26.30
109	2808	25.76
110	2830	25.73
111	2895	26.08
112	2893	25.83
113	2872	25.42
114	2932	25.72
115	2865	24.91
116	2911	25.09
117	2902	24.80
118	3001	25.43
119	2945	24.75
120	3079	25.66
121	3054	25.24
122	3069	25.16
123	3084	25.07
124	3034	24.47
125	3138	25.10
126	3084	24.48
127	3133	24.67
128	3105	24.26
129	5757	44.63
130	3504	26.95
131	3521	26.88
132	3546	26.86
133	3524	26.50
134	3540	26.42
135	3556	26.34
136	3558	26.16
137	3570	26.06
138	3576	25.91
139	3618	26.03
140	3622	25.87
141	3702	26.26
142	3762	26.49
143	3710	25.94
144	3702	25.71
145	3741	25.80
146	3729	25.54
147	3716	25.28
148	3759	25.40
149	3751	25.17
150	3763	25.09
151	3800	25.17
152	3841	25.27
153	3849	25.16
154	6674	43.34
155	3912	25.24
156	14552	93.28
157	3207	20.43
158	3266	20.67
159	3284	20.65
160	3272	20.45
161	3290	20.43
162	3262	20.14
163	3277	20.10
164	3336	20.34
165	3331	20.19
166	3330	20.06
167	3318	19.87
168	3318	19.75
169	3352	19.83
170	3348	19.69
171	3416	19.98
172	3405	19.80
173	3438	19.87
174	3408	19.59
175	3422	19.55
176	3450	19.60
177	3436	19.41
178	3438	19.31
179	3486	19.47
180	3527	19.59
181	3507	19.38
182	3513	19.30
183	3554	19.42
184	3516	19.11
185	3504	18.94
186	3532	18.99
187	3544	18.95
188	3543	18.85
189	3584	18.96
190	3598	18.94
191	3672	19.23
192	3660	19.06
193	3748	19.42
194	3756	19.36
195	3736	19.16
196	3727	19.02
197	3740	18.98
198	3756	18.97
199	3717	18.68
200	3922	19.61
201	3783	18.82
202	3789	18.76
203	3816	18.80
204	3827	18.76
205	3820	18.63
206	3840	18.64
207	3896	18.82
208	3927	18.88
209	3912	18.72
210	3910	18.62
211	3940	18.67
212	3948	18.62
213	3908	18.35
214	3917	18.30
215	3954	18.39
216	3923	18.16
217	3933	18.12
218	4010	18.39
219	4000	18.26
220	3993	18.15
221	4019	18.19
222	4005	18.04
223	4019	18.02
224	4054	18.10
225	4073	18.10
226	4069	18.00
227	4084	17.99
228	4084	17.91
229	4088	17.85
230	4117	17.90
231	4110	17.79
232	4136	17.83
233	4138	17.76
234	4177	17.85
235	4190	17.83
236	4225	17.90
237	4222	17.81
238	4250	17.86
239	4236	17.72
240	4304	17.93
241	4286	17.78
242	4248	17.55
243	4269	17.57
244	4321	17.71
245	4314	17.61
246	4342	17.65
247	4283	17.34
248	4316	17.40
249	4402	17.68
250	4366	17.46
251	4398	17.52
252	4404	17.48
253	4352	17.20
254	4436	17.46
255	4439	17.41
256	4418	17.26
257	4994	19.43
258	4818	18.67
259	4752	18.35
260	4861	18.70
261	4783	18.33
262	4846	18.50
263	4902	18.64
264	4860	18.41
265	4880	18.42
266	4898	18.41
267	4886	18.30
268	4932	18.40
269	4948	18.39
270	4877	18.06
271	4936	18.21
272	4942	18.17
273	4944	18.11
274	4992	18.22
275	4972	18.08
276	5018	18.18
277	5017	18.11
278	4998	17.98
279	5050	18.10
280	5049	18.03
281	5075	18.06
282	5270	18.69
283	5137	18.15
284	5147	18.12
285	5076	17.81
286	5130	17.94
287	5134	17.89
288	5142	17.85
289	5114	17.70
290	5118	17.65
291	5186	17.82
292	5172	17.71
293	5189	17.71
294	5204	17.70
295	5234	17.74
296	5230	17.67
297	5207	17.53
298	5216	17.50
299	5265	17.61
300	5318	17.73
301	5315	17.66
302	5254	17.40
303	5300	17.49
304	5294	17.41
305	5358	17.57
306	5348	17.48
307	5362	17.47
308	5383	17.48
309	5352	17.32
310	5366	17.31
311	5380	17.30
312	5404	17.32
313	5465	17.46
314	5441	17.33
315	5472	17.37
316	5470	17.31
317	5500	17.35
318	5524	17.37
319	5501	17.24
320	5556	17.36
321	5538	17.25
322	5557	17.26
323	5600	17.34
324	5572	17.20
325	5602	17.24
326	5600	17.18
327	5656	17.30
328	5598	17.07
329	5663	17.21
330	5634	17.07
331	5661	17.10
332	5658	17.04
333	5694	17.10
334	5707	17.09
335	5695	17.00
336	5724	17.04
337	5749	17.06
338	5746	17.00
339	5738	16.93
340	5766	16.96
341	5734	16.82
342	5780	16.90
343	5792	16.89
344	5796	16.85
345	5810	16.84
346	5820	16.82
347	5820	16.77
348	5824	16.74
349	5851	16.77
350	5844	16.70
351	5893	16.79
352	5880	16.70
353	5928	16.79
354	5921	16.73
355	5930	16.70
356	5938	16.68
357	5955	16.68
358	5984	16.72
359	5963	16.61
360	5984	16.62
361	5948	16.48
362	6016	16.62
363	6022	16.59
364	6003	16.49
365	6030	16.52
366	6064	16.57
367	6057	16.50
368	6086	16.54
369	6042	16.37
370	6122	16.55
371	6118	16.49
372	6121	16.45
373	6126	16.42
374	6141	16.42
375	6186	16.50
376	6187	16.45
377	6168	16.36
378	6164	16.31
379	6191	16.34
380	6222	16.37
381	6255	16.42
382	6232	16.31
383	6235	16.28
384	6278	16.35
385	6270	16.29
386	6256	16.21
387	6310	16.30
388	6307	16.26
389	6319	16.24
390	6351	16.28
391	6313	16.15
392	6396	16.32
393	6344	16.14
394	6342	16.10
395	6393	16.18
396	6406	16.18
397	6392	16.10
398	6408	16.10
399	6424	16.10
400	6494	16.23
401	9118	22.74
402	6744	16.78
403	6847	16.99
404	6662	16.49
405	6628	16.37
406	6761	16.65
407	6665	16.38
408	6580	16.13
409	6586	16.10
410	6655	16.23
411	6647	16.17
412	6672	16.19
413	6682	16.18
414	6662	16.09
415	6724	16.20
416	6706	16.12
417	6722	16.12
418	6698	16.02
419	6750	16.11
420	6762	16.10
421	6780	16.10
422	6788	16.09
423	6806	16.09
424	6794	16.02
425	6783	15.96
426	6829	16.03
427	6850	16.04
428	6814	15.92
429	6836	15.93
430	6866	15.97
431	6870	15.94
432	6870	15.90
433	6888	15.91
434	6907	15.91
435	6930	15.93
436	6932	15.90
437	6921	15.84
438	6967	15.91
439	6959	15.85
440	6942	15.78
441	6980	15.83
442	7019	15.88
443	7012	15.83
444	7016	15.80
445	7032	15.80
446	7018	15.74
447	7034	15.74
448	7074	15.79
449	7070	15.75
450	7071	15.71
451	7078	15.69
452	7090	15.69
453	7135	15.75
454	7122	15.69
455	7148	15.71
456	7150	15.68
457	7178	15.71
458	7170	15.66
459	7186	15.66
460	7180	15.61
461	7237	15.70
462	7252	15.70
463	7220	15.59
464	7264	15.66
465	7232	15.55
466	7248	15.55
467	7262	15.55
468	7300	15.60
469	7286	15.54
470	7332	15.60
471	7310	15.52
472	7347	15.57
473	7335	15.51
474	7371	15.55
475	7352	15.48
476	7362	15.47
477	7386	15.48
478	7404	15.49
479	7416	15.48
480	7463	15.55
481	7435	15.46
482	17948	37.24
483	6988	14.47
484	6961	14.38
485	6990	14.41
486	6984	14.37
487	7015	14.40
488	7042	14.43
489	7028	14.37
490	7064	14.42
491	7038	14.33
492	7060	14.35
493	7057	14.31
494	7094	14.36
495	7098	14.34
496	7074	14.26
497	7106	14.30
498	7112	14.28
499	7142	14.31
500	7260	14.52
501	7145	14.26
502	7202	14.35
503	7173	14.26
504	7174	14.23
505	7183	14.22
506	7214	14.26
507	7208	14.22
508	7218	14.21
509	7248	14.24
510	7311	14.34
511	7250	14.19
512	7264	14.19
513	9896	19.29
514	7754	15.09
515	7673	14.90
516	7672	14.87
517	7688	14.87
518	7714	14.89
519	7733	14.90
520	7740	14.88
521	7780	14.93
522	7810	14.96
523	7796	14.91
524	7864	15.01
525	7795	14.85
526	7842	14.91
527	7858	14.91
528	7843	14.85
529	7869	14.88
530	7879	14.87
531	7838	14.76
532	7844	14.74
533	7970	14.95
534	7868	14.73
535	7899	14.76
536	7888	14.72
537	7918	14.74
538	7918	14.72
539	7944	14.74
540	45343	83.97
541	18444	34.09
542	8072	14.89
543	8058	14.84
544	8053	14.80
545	8037	14.75
546	8018	14.68
547	8070	14.75
548	8058	14.70
549	8070	14.70
550	8093	14.71
551	8136	14.77
552	8122	14.71
553	8072	14.60
554	8126	14.67
555	8430	15.19
556	8168	14.69
557	8166	14.66
558	8168	14.64
559	8165	14.61
560	8210	14.66
561	8198	14.61
562	8221	14.63
563	8224	14.61
564	8254	14.63
565	8234	14.57
566	8259	14.59
567	8295	14.63
568	8328	14.66
569	8366	14.70
570	8330	14.61
571	8364	14.65
572	8364	14.62
573	8382	14.63
574	8373	14.59
575	8407	14.62
576	8412	14.60
577	8422	14.60
578	8413	14.56
579	8452	14.60
580	8431	14.54
581	8478	14.59
582	8480	14.57
583	8490	14.56
584	8497	14.55
585	8500	14.53
586	8491	14.49
587	8535	14.54
588	8540	14.52
589	8550	14.52
590	8559	14.51
591	8567	14.50
592	8594	14.52
593	8572	14.46
594	8600	14.48
595	8616	14.48
596	8616	14.46
597	8637	14.47
598	8646	14.46
599	8634	14.41
600	8766	14.61
601	8709	14.49
602	8696	14.45
603	8711	14.45
604	8723	14.44
605	8722	14.42
606	8722	14.39
607	8754	14.42
608	10512	17.29
609	8828	14.50
610	8722	14.30
611	9269	15.17
