N	Total Time	Average CPE
1	294	294.00
2	102	51.00
3	102	34.00
4	102	25.50
5	108	21.60
6	115	19.17
7	120	17.14
8	127	15.88
9	134	14.89
10	140	14.00
11	145	13.18
12	150	12.50
13	157	12.08
14	163	11.64
15	170	11.33
16	177	11.06
17	481	28.29
18	464	25.78
19	462	24.32
20	463	23.15
21	469	22.33
22	472	21.45
23	480	20.87
24	489	20.38
25	493	19.72
26	501	19.27
27	507	18.78
28	513	18.32
29	522	18.00
30	526	17.53
31	532	17.16
32	539	16.84
33	741	22.45
34	738	21.71
35	742	21.20
36	748	20.78
37	756	20.43
38	761	20.03
39	769	19.72
40	775	19.38
41	780	19.02
42	789	18.79
43	795	18.49
44	794	18.05
45	806	17.91
46	815	17.72
47	821	17.47
48	825	17.19
49	831	16.96
50	841	16.82
51	843	16.53
52	852	16.38
53	880	16.60
54	888	16.44
55	894	16.25
56	899	16.05
57	903	15.84
58	913	15.74
59	917	15.54
60	920	15.33
61	928	15.21
62	936	15.10
63	943	14.97
64	949	14.83
65	1123	17.28
66	1120	16.97
67	1130	16.87
68	1130	16.62
69	1142	16.55
70	1147	16.39
71	1154	16.25
72	1160	16.11
73	1168	16.00
74	1172	15.84
75	1180	15.73
76	1185	15.59
77	1192	15.48
78	1202	15.41
79	1204	15.24
80	1212	15.15
81	1240	15.31
82	1244	15.17
83	1253	15.10
84	1259	14.99
85	1262	14.85
86	1269	14.76
87	1279	14.70
88	1284	14.59
89	1288	14.47
90	1297	14.41
91	1309	14.38
92	1308	14.22
93	1316	14.15
94	1323	14.07
95	1329	13.99
96	1337	13.93
97	1347	13.89
98	1347	13.74
99	1356	13.70
100	1363	13.63
101	1373	13.59
102	1373	13.46
103	1381	13.41
104	1387	13.34
105	1395	13.29
106	1399	13.20
107	1406	13.14
108	1414	13.09
109	1419	13.02
110	1427	12.97
111	1433	12.91
112	1438	12.84
113	1444	12.78
114	1452	12.74
115	1460	12.70
116	1466	12.64
117	1469	12.56
118	1475	12.50
119	1481	12.45
120	1490	12.42
121	1498	12.38
122	1504	12.33
123	1533	12.46
124	1585	12.78
125	1556	12.45
126	1565	12.42
127	1578	12.43
128	1562	12.20
129	2045	15.85
130	1841	14.16
131	1833	13.99
132	1833	13.89
133	1831	13.77
134	1837	13.71
135	1843	13.65
136	1852	13.62
137	1854	13.53
138	1890	13.70
139	1863	13.40
140	1877	13.41
141	4603	32.65
142	1879	13.23
143	1881	13.15
144	1886	13.10
145	1888	13.02
146	1931	13.23
147	1929	13.12
148	3706	25.04
149	5076	34.07
150	4335	28.90
151	3721	24.64
152	3733	24.56
153	3738	24.43
154	3483	22.62
155	1989	12.83
156	1988	12.74
157	1993	12.69
158	1998	12.65
159	2006	12.62
160	2019	12.62
161	2019	12.54
162	2110	13.02
163	2049	12.57
164	2056	12.54
165	2061	12.49
166	2071	12.48
167	2766	16.56
168	2182	12.99
169	2205	13.05
170	2213	13.02
171	2224	13.01
172	2229	12.96
173	2240	12.95
174	2244	12.90
175	2251	12.86
176	2251	12.79
177	2258	12.76
178	2269	12.75
179	2280	12.74
180	2281	12.67
181	2294	12.67
182	2299	12.63
183	2304	12.59
184	2313	12.57
185	2314	12.51
186	2321	12.48
187	2328	12.45
188	2340	12.45
189	2344	12.40
190	2344	12.34
191	2359	12.35
192	2365	12.32
193	2374	12.30
194	2372	12.23
195	2382	12.22
196	2387	12.18
197	2409	12.23
198	2450	12.37
199	2464	12.38
200	3054	15.27
201	3516	17.49
202	3461	17.13
203	3476	17.12
204	3447	16.90
205	4079	19.90
206	2861	13.89
207	2874	13.88
208	2906	13.97
209	2897	13.86
210	2915	13.88
211	2920	13.84
212	2936	13.85
213	2940	13.80
214	2949	13.78
215	2957	13.75
216	2968	13.74
217	2978	13.72
218	2974	13.64
219	2992	13.66
220	2999	13.63
221	3001	13.58
222	3015	13.58
223	3027	13.57
224	3031	13.53
225	3032	13.48
226	3049	13.49
227	3053	13.45
228	3057	13.41
229	3075	13.43
230	4139	18.00
231	3527	15.27
232	3212	13.84
233	3218	13.81
234	3222	13.77
235	3234	13.76
236	3237	13.72
237	3272	13.81
238	4065	17.08
239	2806	11.74
240	2807	11.70
241	2796	11.60
242	2804	11.59
243	2818	11.60
244	2820	11.56
245	2827	11.54
246	2845	11.57
247	2847	11.53
248	2877	11.60
249	2869	11.52
