N	Total Time	Average CPE
1	111	111.00
2	103	51.50
3	110	36.67
4	122	30.50
5	132	26.40
6	138	23.00
7	152	21.71
8	158	19.75
9	165	18.33
10	172	17.20
11	183	16.64
12	190	15.83
13	202	15.54
14	209	14.93
15	242	16.13
16	251	15.69
17	510	30.00
18	469	26.06
19	474	24.95
20	471	23.55
21	482	22.95
22	492	22.36
23	501	21.78
24	510	21.25
25	515	20.60
26	525	20.19
27	534	19.78
28	541	19.32
29	556	19.17
30	581	19.37
31	592	19.10
32	598	18.69
33	911	27.61
34	954	28.06
35	936	26.74
36	889	24.69
37	897	24.24
38	909	23.92
39	917	23.51
40	928	23.20
41	934	22.78
42	940	22.38
43	952	22.14
44	958	21.77
45	966	21.47
46	990	21.52
47	1007	21.43
48	1015	21.15
49	1020	20.82
50	1031	20.62
51	1040	20.39
52	1048	20.15
53	1063	20.06
54	1076	19.93
55	1066	19.38
56	1084	19.36
57	1098	19.26
58	1108	19.10
59	1108	18.78
60	1119	18.65
61	1133	18.57
62	1146	18.48
63	1151	18.27
64	1155	18.05
65	1468	22.58
66	1457	22.08
67	1468	21.91
68	1458	21.44
69	1470	21.30
70	1481	21.16
71	1491	21.00
72	1500	20.83
73	1508	20.66
74	1517	20.50
75	1523	20.31
76	1534	20.18
77	1563	20.30
78	1572	20.15
79	1581	20.01
80	1587	19.84
81	1601	19.77
82	1604	19.56
83	1616	19.47
84	1620	19.29
85	1639	19.28
86	1643	19.10
87	1653	19.00
88	1661	18.88
89	1847	20.75
90	1740	19.33
91	1749	19.22
92	1754	19.07
93	1768	19.01
94	1770	18.83
95	1780	18.74
96	1789	18.64
97	1798	18.54
98	1808	18.45
99	1821	18.39
100	1834	18.34
101	1857	18.39
102	1844	18.08
103	1854	18.00
104	1864	17.92
105	1875	17.86
106	1878	17.72
107	1890	17.66
108	1900	17.59
109	1903	17.46
110	1923	17.48
111	1924	17.33
112	1935	17.28
113	1944	17.20
114	1960	17.19
115	1950	16.96
116	1976	17.03
117	1978	16.91
118	1993	16.89
119	1998	16.79
120	2008	16.73
121	2018	16.68
122	2027	16.61
123	2036	16.55
124	2048	16.52
125	2056	16.45
126	2064	16.38
127	2076	16.35
128	2086	16.30
129	2464	19.10
130	2373	18.25
131	2466	18.82
132	2370	17.95
133	2403	18.07
134	2388	17.82
135	2396	17.75
136	2495	18.35
137	2407	17.57
138	2418	17.52
139	2424	17.44
140	2435	17.39
141	2475	17.55
142	2476	17.44
143	2478	17.33
144	2494	17.32
145	2504	17.27
146	2510	17.19
147	2519	17.14
148	2528	17.08
149	2543	17.07
150	2549	16.99
151	2556	16.93
152	2570	16.91
153	2574	16.82
154	2589	16.81
155	2598	16.76
156	2600	16.67
157	2695	17.17
158	2626	16.62
159	2630	16.54
160	2636	16.48
161	2667	16.57
162	2677	16.52
163	2678	16.43
164	2690	16.40
165	2700	16.36
166	2713	16.34
167	2717	16.27
168	2725	16.22
169	2735	16.18
170	2741	16.12
171	2754	16.11
172	2760	16.05
173	2771	16.02
174	2783	15.99
175	2790	15.94
176	3359	19.09
177	2726	15.40
178	2737	15.38
179	2745	15.34
180	2758	15.32
181	2761	15.25
182	2773	15.24
183	2779	15.19
184	2790	15.16
185	2804	15.16
186	2809	15.10
187	2816	15.06
188	2823	15.02
189	2834	14.99
190	2854	15.02
191	2927	15.32
192	2958	15.41
193	2990	15.49
194	3007	15.50
195	2993	15.35
196	2999	15.30
197	3006	15.26
198	3011	15.21
199	3041	15.28
200	3045	15.22
201	3062	15.23
202	3056	15.13
203	3059	15.07
204	3069	15.04
205	3082	15.03
206	3090	15.00
207	3100	14.98
208	3106	14.93
209	3135	15.00
210	3127	14.89
211	3130	14.83
212	3149	14.85
213	3151	14.79
214	3181	14.86
215	3306	15.38
216	3177	14.71
217	3184	14.67
218	3193	14.65
219	3204	14.63
220	3585	16.30
221	3241	14.67
222	3303	14.88
223	3265	14.64
224	3246	14.49
225	3523	15.66
226	3383	14.97
227	3273	14.42
228	3277	14.37
229	3292	14.38
230	3296	14.33
231	3309	14.32
232	3312	14.28
233	3322	14.26
234	3680	15.73
235	3345	14.23
236	4198	17.79
237	3280	13.84
238	3276	13.76
239	3292	13.77
240	3307	13.78
241	3361	13.95
242	3383	13.98
243	3299	13.58
244	3287	13.47
245	3379	13.79
246	3358	13.65
247	3296	13.34
248	3300	13.31
249	3279	13.17
250	4914	19.66
251	3239	12.90
252	3228	12.81
253	3240	12.81
254	3246	12.78
255	3257	12.77
256	3265	12.75
257	3541	13.78
258	4217	16.34
259	3474	13.41
260	3464	13.32
261	3758	14.40
262	3466	13.23
263	3478	13.22
264	3493	13.23
265	3561	13.44
266	3505	13.18
267	3505	13.13
268	3509	13.09
269	3525	13.10
270	3553	13.16
271	3561	13.14
272	3565	13.11
273	3576	13.10
274	3580	13.07
275	3591	13.06
276	3735	13.53
277	3623	13.08
278	3606	12.97
279	3628	13.00
280	3631	12.97
281	3640	12.95
282	3647	12.93
283	3672	12.98
284	3662	12.89
285	3676	12.90
286	3675	12.85
287	3690	12.86
288	3680	12.78
289	3699	12.80
290	3697	12.75
291	3712	12.76
292	3716	12.73
293	3733	12.74
294	3737	12.71
295	3752	12.72
296	3758	12.70
297	3764	12.67
298	3771	12.65
299	3783	12.65
300	3796	12.65
301	3820	12.69
302	3805	12.60
303	3811	12.58
304	3827	12.59
305	3828	12.55
306	3839	12.55
307	3844	12.52
308	3849	12.50
309	3861	12.50
310	3871	12.49
311	3877	12.47
312	3891	12.47
313	4277	13.66
314	3907	12.44
315	3901	12.38
316	3917	12.40
317	3924	12.38
318	3929	12.36
319	3942	12.36
320	3943	12.32
321	3956	12.32
322	3964	12.31
323	3970	12.29
324	3984	12.30
325	3990	12.28
326	4001	12.27
327	4002	12.24
328	3998	12.19
329	4026	12.24
330	4041	12.25
331	4039	12.20
332	4772	14.37
333	4054	12.17
334	4097	12.27
335	4055	12.10
336	4076	12.13
337	4080	12.11
338	4216	12.47
339	4105	12.11
340	5900	17.35
341	4114	12.06
342	4123	12.06
343	4131	12.04
344	8022	23.32
345	4098	11.88
346	4104	11.86
347	4114	11.86
348	4114	11.82
349	7766	22.25
350	4124	11.78
