N	Total Time	Average CPE
1	347	347.00
2	120	60.00
3	119	39.67
4	119	29.75
5	127	25.40
6	134	22.33
7	142	20.29
8	149	18.62
9	159	17.67
10	166	16.60
11	172	15.64
12	179	14.92
13	186	14.31
14	194	13.86
15	202	13.47
16	211	13.19
17	561	33.00
18	540	30.00
19	540	28.42
20	539	26.95
21	545	25.95
22	559	25.41
23	561	24.39
24	569	23.71
25	578	23.12
26	585	22.50
27	592	21.93
28	598	21.36
29	607	20.93
30	615	20.50
31	622	20.06
32	631	19.72
33	876	26.55
34	869	25.56
35	878	25.09
36	890	24.72
37	895	24.19
38	904	23.79
39	912	23.38
40	917	22.93
41	927	22.61
42	940	22.38
43	942	21.91
44	952	21.64
45	956	21.24
46	969	21.07
47	977	20.79
48	1161	24.19
49	992	20.24
50	996	19.92
51	1006	19.73
52	1015	19.52
53	1047	19.75
54	1053	19.50
55	1057	19.22
56	1071	19.12
57	1077	18.89
58	1087	18.74
59	1097	18.59
60	1099	18.32
61	1109	18.18
62	1112	17.94
63	1126	17.87
64	1128	17.62
65	1516	23.32
66	1489	22.56
67	1495	22.31
68	1505	22.13
69	1510	21.88
70	1521	21.73
71	1528	21.52
72	1536	21.33
73	1648	22.58
74	1562	21.11
75	1556	20.75
76	1564	20.58
77	1578	20.49
78	1584	20.31
79	1589	20.11
80	1595	19.94
81	1612	19.90
82	1610	19.63
83	1646	19.83
84	1651	19.65
85	1657	19.49
86	1667	19.38
87	1675	19.25
88	1683	19.12
89	1693	19.02
90	1695	18.83
91	1708	18.77
92	1712	18.61
93	1729	18.59
94	1735	18.46
95	1736	18.27
96	1744	18.17
97	1766	18.21
98	1766	18.02
99	1771	17.89
100	1785	17.85
101	1875	18.56
102	1791	17.56
103	1800	17.48
104	1814	17.44
105	1807	17.21
106	1813	17.10
107	1833	17.13
108	1839	17.03
109	1840	16.88
110	1855	16.86
111	1859	16.75
112	1879	16.78
113	1880	16.64
114	1875	16.45
115	1884	16.38
116	1906	16.43
117	1908	16.31
118	1912	16.20
119	1926	16.18
120	1933	16.11
121	1947	16.09
122	1945	15.94
123	1955	15.89
124	1965	15.85
125	1976	15.81
126	1992	15.81
127	1987	15.65
128	1984	15.50
129	2511	19.47
130	2331	17.93
131	2334	17.82
132	2341	17.73
133	2351	17.68
134	2343	17.49
135	2359	17.47
136	2358	17.34
137	2373	17.32
138	2373	17.20
139	2377	17.10
140	2391	17.08
141	2435	17.27
142	2462	17.34
143	2464	17.23
144	2487	17.27
145	2477	17.08
146	2483	17.01
147	2508	17.06
148	2495	16.86
149	2488	16.70
150	2518	16.79
151	2532	16.77
152	8305	54.64
153	2332	15.24
154	2350	15.26
155	2345	15.13
156	2362	15.14
157	2369	15.09
158	2376	15.04
159	2377	14.95
160	2383	14.89
161	2383	14.80
162	2403	14.83
163	2436	14.94
164	2442	14.89
165	2464	14.93
166	2468	14.87
167	2447	14.65
168	2459	14.64
169	2450	14.50
170	2475	14.56
171	2460	14.39
172	2468	14.35
173	2503	14.47
174	2584	14.85
175	2606	14.89
176	2564	14.57
177	2586	14.61
178	2543	14.29
179	2575	14.39
180	2552	14.18
181	3160	17.46
182	2566	14.10
183	2561	13.99
184	2576	14.00
185	2573	13.91
186	2581	13.88
187	2592	13.86
188	2596	13.81
189	2622	13.87
190	2608	13.73
191	2783	14.57
192	2642	13.76
193	2637	13.66
194	2647	13.64
195	2654	13.61
196	2663	13.59
197	2668	13.54
198	2665	13.46
199	2683	13.48
200	2702	13.51
201	2706	13.46
202	2705	13.39
203	2734	13.47
204	2726	13.36
205	2747	13.40
206	2753	13.36
207	2742	13.25
208	2747	13.21
209	2758	13.20
210	2785	13.26
211	2778	13.17
212	2771	13.07
213	2784	13.07
214	2805	13.11
215	2816	13.10
216	2799	12.96
217	2827	13.03
218	2842	13.04
219	2835	12.95
220	4335	19.70
221	2893	13.09
222	2878	12.96
223	2882	12.92
224	2905	12.97
225	2920	12.98
226	2926	12.95
227	2950	13.00
228	2934	12.87
229	2993	13.07
230	2940	12.78
231	2963	12.83
232	3120	13.45
233	2995	12.85
234	2981	12.74
235	3028	12.89
236	3006	12.74
237	3640	15.36
238	2916	12.25
239	2910	12.18
240	2928	12.20
241	2952	12.25
242	2963	12.24
243	2987	12.29
244	2979	12.21
245	2978	12.16
246	3000	12.20
247	2993	12.12
248	3000	12.10
249	3124	12.55
250	3114	12.46
251	3101	12.35
252	3051	12.11
253	3042	12.02
254	3118	12.28
255	3089	12.11
256	3091	12.07
257	3406	13.25
258	3341	12.95
259	3384	13.07
260	3388	13.03
261	3399	13.02
262	3417	13.04
263	3396	12.91
264	3412	12.92
265	3433	12.95
266	3418	12.85
267	3416	12.79
268	3417	12.75
269	3417	12.70
270	3453	12.79
271	3522	13.00
272	3438	12.64
273	3376	12.37
274	5402	19.72
275	3378	12.28
276	3396	12.30
277	3445	12.44
278	3409	12.26
279	3452	12.37
280	3486	12.45
281	4682	16.66
282	3443	12.21
283	3542	12.52
284	3419	12.04
285	3418	11.99
286	3600	12.59
287	3457	12.05
288	3466	12.03
289	3461	11.98
290	3474	11.98
291	3489	11.99
292	3487	11.94
293	3487	11.90
294	3485	11.85
295	3522	11.94
296	3557	12.02
297	3613	12.16
298	3542	11.89
299	3571	11.94
300	3583	11.94
301	3577	11.88
302	3650	12.09
303	3746	12.36
304	3662	12.05
305	3658	11.99
306	3582	11.71
307	3819	12.44
308	3661	11.89
309	3662	11.85
310	3622	11.68
311	3696	11.88
312	3659	11.73
313	3618	11.56
314	3638	11.59
315	3664	11.63
316	4517	14.29
317	3769	11.89
318	3791	11.92
319	3798	11.91
320	3845	12.02
321	3858	12.02
322	4636	14.40
323	3724	11.53
324	3711	11.45
325	3745	11.52
326	3774	11.58
327	3741	11.44
328	3848	11.73
329	3768	11.45
330	3763	11.40
331	4030	12.18
332	5190	15.63
333	3796	11.40
334	3961	11.86
335	5010	14.96
336	3999	11.90
337	4207	12.48
338	4899	14.49
339	4160	12.27
340	3816	11.22
341	3904	11.45
342	3852	11.26
343	3857	11.24
344	3880	11.28
345	3864	11.20
346	3886	11.23
347	3930	11.33
348	3996	11.48
349	4998	14.32
350	3923	11.21
351	4445	12.66
352	5046	14.34
353	4284	12.14
354	4528	12.79
355	5364	15.11
356	5128	14.40
357	5635	15.78
358	5680	15.87
359	4521	12.59
360	4116	11.43
361	4394	12.17
362	4235	11.70
363	4239	11.68
364	4141	11.38
365	4340	11.89
366	4072	11.13
367	4264	11.62
368	4086	11.10
369	7136	19.34
370	4777	12.91
371	5355	14.43
372	6416	17.25
373	4500	12.06
374	4249	11.36
375	4274	11.40
376	4263	11.34
377	4274	11.34
