N	Total Time	Average CPE
1	129	129.00
2	120	60.00
3	131	43.67
4	141	35.25
5	155	31.00
6	169	28.17
7	177	25.29
8	186	23.25
9	198	22.00
10	209	20.90
11	219	19.91
12	227	18.92
13	234	18.00
14	243	17.36
15	294	19.60
16	291	18.19
17	560	32.94
18	551	30.61
19	551	29.00
20	549	27.45
21	566	26.95
22	575	26.14
23	587	25.52
24	595	24.79
25	606	24.24
26	614	23.62
27	620	22.96
28	636	22.71
29	644	22.21
30	676	22.53
31	686	22.13
32	702	21.94
33	1026	31.09
34	1033	30.38
35	1142	32.63
36	1440	40.00
37	1170	31.62
38	4806	126.47
39	1943	49.82
40	1045	26.12
41	1160	28.29
42	1156	27.52
43	1163	27.05
44	1178	26.77
45	1189	26.42
46	1234	26.83
47	1231	26.19
48	1262	26.29
49	1243	25.37
50	1257	25.14
51	1263	24.76
52	1291	24.83
53	1294	24.42
54	1298	24.04
55	1317	23.95
56	1322	23.61
57	1353	23.74
58	1351	23.29
59	1369	23.20
60	1413	23.55
61	1374	22.52
62	1389	22.40
63	1410	22.38
64	1433	22.39
65	1809	27.83
66	1788	27.09
67	1780	26.57
68	1808	26.59
69	1805	26.16
70	1839	26.27
71	1833	25.82
72	1837	25.51
73	1827	25.03
74	1828	24.70
75	1846	24.61
76	1850	24.34
77	1870	24.29
78	1907	24.45
79	1919	24.29
80	1921	24.01
81	1943	23.99
82	1941	23.67
83	1963	23.65
84	1967	23.42
85	1973	23.21
86	2180	25.35
87	2005	23.05
88	2014	22.89
89	2017	22.66
90	2037	22.63
91	2055	22.58
92	2061	22.40
93	2074	22.30
94	2077	22.10
95	2080	21.89
96	2096	21.83
97	2133	21.99
98	2159	22.03
99	2198	22.20
100	2181	21.81
101	2186	21.64
102	2222	21.78
103	2204	21.40
104	2206	21.21
105	2244	21.37
106	2312	21.81
107	2262	21.14
108	2700	25.00
109	2241	20.56
110	2845	25.86
111	2770	24.95
112	3378	30.16
113	2285	20.22
114	2223	19.50
115	2242	19.50
116	2251	19.41
117	2272	19.42
118	2246	19.03
119	2299	19.32
120	2441	20.34
121	2296	18.98
122	2307	18.91
123	2325	18.90
124	2350	18.95
125	2345	18.76
126	2355	18.69
127	2385	18.78
128	2370	18.52
129	6566	50.90
130	2659	20.45
131	2662	20.32
132	2665	20.19
133	2671	20.08
134	2688	20.06
135	4875	36.11
136	2726	20.04
137	2715	19.82
138	2725	19.75
139	2739	19.71
140	2753	19.66
141	2792	19.80
142	2801	19.73
143	2813	19.67
144	2825	19.62
145	2833	19.54
146	2850	19.52
147	2842	19.33
148	2874	19.42
149	2869	19.26
150	2883	19.22
151	2882	19.09
152	2896	19.05
153	2917	19.07
154	2941	19.10
155	2957	19.08
156	2951	18.92
157	2954	18.82
158	3149	19.93
159	4596	28.91
160	3900	24.38
161	3907	24.27
162	3204	19.78
163	3459	21.22
164	3731	22.75
165	3324	20.15
166	3586	21.60
167	3096	18.54
168	3073	18.29
169	3088	18.27
170	3081	18.12
171	3106	18.16
172	3110	18.08
173	3130	18.09
174	3136	18.02
175	3150	18.00
176	3164	17.98
177	3188	18.01
178	3172	17.82
179	3216	17.97
180	3232	17.96
181	3428	18.94
182	3242	17.81
183	3261	17.82
184	3251	17.67
185	3267	17.66
186	3274	17.60
187	3284	17.56
188	3297	17.54
189	3312	17.52
190	3326	17.51
191	3356	17.57
192	3359	17.49
193	3341	17.31
194	3364	17.34
195	3387	17.37
196	3413	17.41
197	3463	17.58
198	3509	17.72
199	3537	17.77
200	3572	17.86
201	3536	17.59
202	3535	17.50
203	3539	17.43
204	3564	17.47
205	3561	17.37
206	3588	17.42
207	3577	17.28
208	3589	17.25
209	3607	17.26
210	3864	18.40
211	3641	17.26
212	3639	17.17
213	3653	17.15
214	3662	17.11
215	3682	17.13
216	3683	17.05
217	4903	22.59
218	6802	31.20
219	4882	22.29
220	5439	24.72
221	5723	25.90
222	5644	25.42
223	6451	28.93
224	7345	32.79
225	4196	18.65
226	6579	29.11
227	5588	24.62
228	4611	20.22
