N	Total Time	Average CPE
1	319	319.00
2	107	53.50
3	107	35.67
4	108	27.00
5	115	23.00
6	122	20.33
7	126	18.00
8	153	19.12
9	141	15.67
10	146	14.60
11	153	13.91
12	161	13.42
13	167	12.85
14	174	12.43
15	183	12.20
16	188	11.75
17	519	30.53
18	501	27.83
19	500	26.32
20	502	25.10
21	507	24.14
22	514	23.36
23	521	22.65
24	528	22.00
25	578	23.12
26	543	20.88
27	547	20.26
28	554	19.79
29	562	19.38
30	569	18.97
31	574	18.52
32	584	18.25
33	791	23.97
34	785	23.09
35	793	22.66
36	801	22.25
37	808	21.84
38	812	21.37
39	823	21.10
40	821	20.52
41	819	19.98
42	840	20.00
43	850	19.77
44	854	19.41
45	859	19.09
46	870	18.91
47	880	18.72
48	881	18.35
49	888	18.12
50	895	17.90
51	904	17.73
52	910	17.50
53	941	17.75
54	946	17.52
55	955	17.36
56	963	17.20
57	967	16.96
58	973	16.78
59	981	16.63
60	987	16.45
61	994	16.30
62	999	16.11
63	1007	15.98
64	1013	15.83
65	1352	20.80
66	1342	20.33
67	1343	20.04
68	1347	19.81
69	1352	19.59
70	1359	19.41
71	1369	19.28
72	1375	19.10
73	1368	18.74
74	1377	18.61
75	1394	18.59
76	1401	18.43
77	1406	18.26
78	1414	18.13
79	1422	18.00
80	1429	17.86
81	1436	17.73
82	1468	17.90
83	1486	17.90
84	1479	17.61
85	1472	17.32
86	1479	17.20
87	1500	17.24
88	1511	17.17
89	1511	16.98
90	1507	16.74
91	1514	16.64
92	1533	16.66
93	1542	16.58
94	1546	16.45
95	1537	16.18
96	1543	16.07
97	1553	16.01
98	1561	15.93
99	1565	15.81
100	1577	15.77
101	1580	15.64
102	1608	15.76
103	1579	15.33
104	1574	15.13
105	1571	14.96
106	1582	14.92
107	1587	14.83
108	1594	14.76
109	1600	14.68
110	1608	14.62
111	1614	14.54
112	1618	14.45
113	1627	14.40
114	1634	14.33
115	1637	14.23
116	1631	14.06
117	1638	14.00
118	1646	13.95
119	1650	13.87
120	1652	13.77
121	1663	13.74
122	1673	13.71
123	1691	13.75
124	1695	13.67
125	1706	13.65
126	1711	13.58
127	1719	13.54
128	1727	13.49
129	2107	16.33
130	2014	15.49
131	2015	15.38
132	2018	15.29
133	2023	15.21
134	2030	15.15
135	2037	15.09
136	2039	14.99
137	2048	14.95
138	2055	14.89
139	2061	14.83
140	2062	14.73
141	2128	15.09
142	2114	14.89
143	2128	14.88
144	2077	14.42
145	2089	14.41
146	2085	14.28
147	2091	14.22
148	2094	14.15
149	2096	14.07
150	2100	14.00
151	2117	14.02
152	2114	13.91
153	2121	13.86
154	2126	13.81
155	2139	13.80
156	2143	13.74
157	2146	13.67
158	2155	13.64
159	2165	13.62
160	2172	13.57
161	2170	13.48
162	2178	13.44
163	2214	13.58
164	2196	13.39
165	2203	13.35
166	2231	13.44
167	2286	13.69
168	2291	13.64
169	2288	13.54
170	2298	13.52
171	2304	13.47
172	2314	13.45
173	2319	13.40
174	2322	13.34
175	2333	13.33
176	2336	13.27
177	2340	13.22
178	2328	13.08
179	2331	13.02
180	2346	13.03
181	2335	12.90
182	2423	13.31
183	2415	13.20
184	2409	13.09
185	2480	13.41
186	3174	17.06
187	2351	12.57
188	2350	12.50
189	2356	12.47
190	2352	12.38
191	2364	12.38
192	2350	12.24
193	2359	12.22
194	2352	12.12
195	2362	12.11
196	2368	12.08
197	2616	13.28
198	2429	12.27
199	2423	12.18
200	2427	12.13
201	2470	12.29
202	2482	12.29
203	2514	12.38
204	2585	12.67
205	2559	12.48
206	2569	12.47
207	2619	12.65
208	2545	12.24
209	2564	12.27
210	2566	12.22
211	2578	12.22
212	2598	12.25
213	2607	12.24
214	2588	12.09
215	2601	12.10
216	2607	12.07
217	2678	12.34
218	2629	12.06
219	2670	12.19
220	2651	12.05
221	2639	11.94
222	2630	11.85
223	2637	11.83
224	2644	11.80
225	2667	11.85
226	2664	11.79
227	2679	11.80
228	2685	11.78
229	2694	11.76
230	2699	11.73
231	2690	11.65
232	3854	16.61
233	2495	10.71
234	2499	10.68
235	2488	10.59
236	2519	10.67
237	2526	10.66
238	2533	10.64
239	2537	10.62
240	2548	10.62
241	2550	10.58
242	2558	10.57
243	2563	10.55
244	2574	10.55
245	2582	10.54
246	2586	10.51
247	2592	10.49
248	2602	10.49
249	2603	10.45
250	2611	10.44
251	2618	10.43
252	2623	10.41
253	2632	10.40
254	2636	10.38
255	2639	10.35
256	2655	10.37
257	2914	11.34
258	2886	11.19
259	2903	11.21
260	2892	11.12
261	2902	11.12
262	2913	11.12
263	2905	11.05
264	2920	11.06
265	2926	11.04
266	2938	11.05
267	2943	11.02
268	2946	10.99
269	2957	10.99
270	2972	11.01
271	2963	10.93
272	2997	11.02
273	2981	10.92
274	3014	11.00
275	3023	10.99
276	3013	10.92
277	3033	10.95
278	3040	10.94
279	3034	10.87
280	3042	10.86
281	3055	10.87
282	3052	10.82
283	3075	10.87
284	3100	10.92
285	3083	10.82
286	3026	10.58
287	3116	10.86
288	3018	10.48
289	3033	10.49
290	3024	10.43
291	3029	10.41
292	3037	10.40
293	3047	10.40
294	3050	10.37
295	3060	10.37
296	3069	10.37
297	3078	10.36
298	3078	10.33
299	3089	10.33
300	3105	10.35
301	3120	10.37
302	3104	10.28
303	3116	10.28
304	3116	10.25
305	3123	10.24
306	3132	10.24
307	3113	10.14
308	3065	9.95
309	3067	9.93
310	3072	9.91
311	3086	9.92
312	3093	9.91
313	3099	9.90
314	3657	11.65
315	3029	9.62
316	3034	9.60
317	3037	9.58
318	3047	9.58
319	3049	9.56
320	3053	9.54
321	3612	11.25
322	2996	9.30
323	2999	9.28
324	3005	9.27
325	3017	9.28
326	3008	9.23
327	3018	9.23
328	3029	9.23
329	3701	11.25
330	2964	8.98
331	2969	8.97
332	2978	8.97
333	2975	8.93
334	2985	8.94
335	2990	8.93
336	3011	8.96
337	3005	8.92
338	3014	8.92
339	3017	8.90
340	3027	8.90
341	3029	8.88
342	3037	8.88
343	3041	8.87
344	3043	8.85
345	3050	8.84
346	3065	8.86
347	3068	8.84
348	3064	8.80
349	3083	8.83
350	3091	8.83
351	3093	8.81
352	3093	8.79
353	3105	8.80
354	3109	8.78
355	3120	8.79
356	3123	8.77
357	3138	8.79
358	3197	8.93
359	3137	8.74
360	3151	8.75
361	3150	8.73
362	3154	8.71
363	3165	8.72
364	3171	8.71
365	3176	8.70
366	3173	8.67
367	3187	8.68
368	3197	8.69
369	3273	8.87
370	3389	9.16
371	3264	8.80
372	3242	8.72
373	3248	8.71
374	3218	8.60
375	3255	8.68
376	3243	8.62
377	3244	8.60
378	3260	8.62
379	3323	8.77
380	3303	8.69
381	3265	8.57
382	3268	8.55
383	3281	8.57
384	3289	8.57
385	3291	8.55
386	3296	8.54
387	3299	8.52
388	3306	8.52
389	3306	8.50
390	3316	8.50
391	3327	8.51
392	3332	8.50
393	3339	8.50
394	3342	8.48
395	3346	8.47
396	3360	8.48
397	3362	8.47
398	3370	8.47
399	3375	8.46
400	3405	8.51
401	3380	8.43
402	3387	8.43
