N	Total Time	Average CPE
1	328	328.00
2	29	14.50
3	110	36.67
4	49	12.25
5	119	23.80
6	206	34.33
7	140	20.00
8	218	27.25
9	161	17.89
10	232	23.20
11	271	24.64
12	343	28.58
13	282	21.69
14	371	26.50
15	552	36.80
16	403	25.19
17	402	23.65
18	453	25.17
19	453	23.84
20	849	42.45
21	268	12.76
22	274	12.45
23	286	12.43
24	301	12.54
25	313	12.52
26	319	12.27
27	331	12.26
28	575	20.54
29	624	21.52
30	686	22.87
31	694	22.39
32	765	23.91
33	731	22.15
34	773	22.74
35	498	14.23
36	433	12.03
37	462	12.49
38	460	12.11
39	464	11.90
40	488	12.20
41	491	11.98
42	504	12.00
43	519	12.07
44	530	12.05
45	551	12.24
46	561	12.20
47	567	12.06
48	583	12.15
49	600	12.24
50	605	12.10
51	620	12.16
52	625	12.02
53	649	12.25
54	643	11.91
55	651	11.84
56	676	12.07
57	696	12.21
58	693	11.95
59	705	11.95
60	733	12.22
61	721	11.82
62	737	11.89
63	756	12.00
64	768	12.00
65	781	12.02
66	796	12.06
67	807	12.04
68	816	12.00
69	839	12.16
70	835	11.93
71	851	11.99
72	867	12.04
73	876	12.00
74	885	11.96
75	909	12.12
76	911	11.99
77	924	12.00
78	936	12.00
79	942	11.92
80	965	12.06
81	959	11.84
82	974	11.88
83	992	11.95
84	1008	12.00
85	1025	12.06
86	1029	11.97
87	1045	12.01
88	1050	11.93
89	1074	12.07
90	1080	12.00
91	1088	11.96
92	1115	12.12
93	1112	11.96
94	1130	12.02
95	1131	11.91
96	1141	11.89
97	1160	11.96
98	1168	11.92
99	1174	11.86
100	1197	11.97
101	1192	11.80
102	1214	11.90
103	1239	12.03
104	1246	11.98
105	1244	11.85
106	1271	11.99
107	1266	11.83
108	1288	11.93
109	1296	11.89
110	1309	11.90
111	1318	11.87
112	1335	11.92
113	1341	11.87
114	1356	11.89
115	1368	11.90
116	1374	11.84
117	1394	11.91
118	1401	11.87
119	1414	11.88
120	1424	11.87
121	1414	11.69
122	1454	11.92
123	1466	11.92
124	1474	11.89
125	1491	11.93
126	1487	11.80
127	1507	11.87
128	1527	11.93
129	1524	11.81
130	1557	11.98
131	1571	11.99
132	1555	11.78
133	1587	11.93
134	1593	11.89
135	1599	11.84
136	1621	11.92
137	1637	11.95
138	1631	11.82
139	1650	11.87
140	1647	11.76
141	1659	11.77
142	1686	11.87
143	1699	11.88
144	1718	11.93
145	1713	11.81
146	1731	11.86
147	2675	18.20
148	1786	12.07
149	1771	11.89
150	1792	11.95
151	1802	11.93
152	1801	11.85
153	1812	11.84
154	1828	11.87
155	1844	11.90
156	1848	11.85
157	1874	11.94
158	1874	11.86
159	1890	11.89
160	1881	11.76
161	1893	11.76
