N	Total Time	Average CPE
1	90	90.00
2	188	94.00
3	274	91.33
4	371	92.75
5	1181	236.20
6	573	95.50
7	2243	320.43
8	789	98.62
9	887	98.56
10	993	99.30
11	1107	100.64
12	1222	101.83
13	1329	102.23
14	1452	103.71
15	1555	103.67
16	1663	103.94
17	1772	104.24
18	1880	104.44
19	1988	104.63
20	2096	104.80
21	2203	104.90
22	2313	105.14
23	2421	105.26
24	2527	105.29
25	2637	105.48
26	2744	105.54
27	2856	105.78
28	2961	105.75
29	3074	106.00
30	3179	105.97
31	3293	106.23
32	3397	106.16
33	3511	106.39
34	3614	106.29
35	3725	106.43
36	3832	106.44
37	3942	106.54
38	4053	106.66
39	4161	106.69
40	4266	106.65
41	4380	106.83
42	4485	106.79
43	4593	106.81
44	4705	106.93
45	4810	106.89
46	4922	107.00
47	5029	107.00
48	5141	107.10
49	5326	108.69
50	5356	107.12
51	5463	107.12
52	5573	107.17
53	5683	107.23
54	5787	107.17
55	8697	158.13
56	6876	122.79
57	6855	120.26
58	6227	107.36
59	6335	107.37
60	6443	107.38
61	6550	107.38
62	6657	107.37
63	6771	107.48
64	6879	107.48
65	6986	107.48
66	7095	107.50
67	7204	107.52
68	7402	108.85
69	10815	156.74
70	9090	129.86
71	7645	107.68
72	7756	107.72
73	7865	107.74
74	7972	107.73
75	8078	107.71
76	8185	107.70
77	8301	107.81
78	8405	107.76
79	8510	107.72
80	8617	107.71
81	8730	107.78
82	8831	107.70
83	8936	107.66
84	9105	108.39
85	9148	107.62
86	9254	107.60
87	9349	107.46
88	9457	107.47
89	9562	107.44
90	9698	107.76
91	11167	122.71
92	9872	107.30
93	9979	107.30
94	10089	107.33
95	10178	107.14
96	10287	107.16
97	10394	107.15
98	10496	107.10
99	10655	107.63
100	10719	107.19
101	10812	107.05
102	10913	106.99
103	11017	106.96
104	11130	107.02
105	11231	106.96
106	15345	144.76
107	12319	115.13
108	11536	106.81
109	11637	106.76
110	11742	106.75
111	11843	106.69
112	11936	106.57
113	12046	106.60
114	12141	106.50
115	12336	107.27
116	12336	106.34
117	12441	106.33
118	16348	138.54
119	12636	106.18
120	12863	107.19
121	15205	125.66
122	12926	105.95
123	13021	105.86
124	13123	105.83
125	13218	105.74
126	13315	105.67
127	13405	105.55
128	13512	105.56
129	13599	105.42
130	13700	105.38
131	13861	105.81
132	13894	105.26
133	13989	105.18
134	14085	105.11
135	14183	105.06
136	14273	104.95
137	14377	104.94
138	14474	104.88
139	14563	104.77
140	14658	104.70
141	14758	104.67
142	14853	104.60
143	14956	104.59
144	15935	110.66
145	15151	104.49
146	15248	104.44
147	15437	105.01
148	15436	104.30
149	15535	104.26
150	15704	104.69
151	15733	104.19
152	15823	104.10
153	15919	104.05
154	16016	104.00
155	16111	103.94
156	16214	103.94
157	16311	103.89
158	16403	103.82
159	16500	103.77
160	16688	104.30
161	16894	104.93
162	17525	108.18
163	16888	103.61
164	16983	103.55
165	17072	103.47
166	17176	103.47
167	17268	103.40
168	17365	103.36
169	17532	103.74
170	17558	103.28
171	17661	103.28
172	17812	103.56
173	17853	103.20
174	17948	103.15
175	18043	103.10
176	18144	103.09
177	18261	103.17
178	18367	103.19
179	18468	103.17
180	18569	103.16
181	18660	103.09
182	18767	103.12
183	18869	103.11
184	18961	103.05
185	19054	102.99
186	19155	102.98
187	19253	102.96
188	19341	102.88
189	19445	102.88
190	19593	103.12
191	19645	102.85
192	20454	106.53
193	19951	103.37
194	19918	102.67
195	20026	102.70
196	20124	102.67
197	20211	102.59
198	20316	102.61
199	20411	102.57
200	22296	111.48
201	20658	102.78
202	23399	115.84
203	21725	107.02
204	21005	102.97
205	21106	102.96
206	21207	102.95
207	21301	102.90
208	21399	102.88
209	21498	102.86
210	21589	102.80
211	21684	102.77
212	21794	102.80
213	21883	102.74
214	21977	102.70
215	22075	102.67
216	24060	111.39
217	22272	102.64
218	24287	111.41
219	22471	102.61
220	22561	102.55
221	22663	102.55
222	22760	102.52
223	22862	102.52
224	22953	102.47
225	23047	102.43
226	23147	102.42
227	23245	102.40
228	23343	102.38
229	23534	102.77
230	25299	110.00
231	23631	102.30
232	23737	102.31
233	23836	102.30
234	23936	102.29
235	24027	102.24
236	24853	105.31
237	24222	102.20
238	24325	102.21
239	25255	105.67
240	25410	105.88
241	30365	126.00
242	26513	109.56
243	27102	111.53
244	24913	102.10
245	25003	102.05
246	28352	115.25
247	25205	102.04
248	25299	102.01
249	25394	101.98
250	25484	101.94
251	25589	101.95
252	27067	107.41
253	29287	115.76
254	25891	101.93
255	27678	108.54
256	26088	101.91
257	26285	102.28
258	26269	101.82
259	26369	101.81
260	26467	101.80
261	26564	101.78
262	26665	101.77
263	26767	101.78
264	26860	101.74
265	26957	101.72
266	27061	101.73
267	27159	101.72
268	27255	101.70
269	28068	104.34
270	27446	101.65
271	27546	101.65
272	27649	101.65
273	27735	101.59
274	27889	101.78
275	27929	101.56
276	28029	101.55
277	28128	101.55
278	28221	101.51
279	28321	101.51
280	28410	101.46
281	28611	101.82
282	28606	101.44
283	28710	101.45
284	28817	101.47
285	28914	101.45
286	29003	101.41
287	29105	101.41
288	29298	101.73
289	29295	101.37
290	29386	101.33
291	29489	101.34
292	29596	101.36
293	30555	104.28
294	29873	101.61
295	29877	101.28
296	29972	101.26
297	30070	101.25
298	30174	101.26
299	30280	101.27
300	31088	103.63
301	30464	101.21
302	30570	101.23
303	30656	101.17
304	30789	101.28
305	30840	101.11
306	30961	101.18
307	31151	101.47
308	31180	101.23
309	31223	101.05
310	31301	100.97
311	31414	101.01
312	31576	101.21
313	31635	101.07
314	31753	101.12
315	31819	101.01
316	31920	101.01
317	32895	103.77
318	32124	101.02
319	33285	104.34
320	37789	118.09
321	36061	112.34
322	32517	100.98
323	32607	100.95
324	32707	100.95
325	32821	100.99
326	32899	100.92
327	33010	100.95
328	33096	100.90
329	33240	101.03
330	35362	107.16
