N	Total Time	Average CPE
1	349	349.00
2	179	89.50
3	174	58.00
4	251	62.75
5	338	67.60
6	411	68.50
7	422	60.29
8	609	76.12
9	629	69.89
10	625	62.50
11	771	70.09
12	787	65.58
13	982	75.54
14	950	67.86
15	1134	75.60
16	1164	72.75
17	1149	67.59
18	1231	68.39
19	1343	70.68
20	892	44.60
21	409	19.48
22	439	19.95
23	457	19.87
24	481	20.04
25	500	20.00
26	523	20.12
27	544	20.15
28	1060	37.86
29	2223	76.66
30	2065	68.83
31	2368	76.39
32	2247	70.22
33	2335	70.76
34	2409	70.85
35	964	27.54
36	727	20.19
37	748	20.22
38	789	20.76
39	893	22.90
40	632	15.80
41	642	15.66
42	658	15.67
43	691	16.07
44	724	16.45
45	771	17.13
46	816	17.74
47	890	18.94
48	890	18.54
49	874	17.84
50	834	16.68
51	848	16.63
52	872	16.77
53	906	17.09
54	923	17.09
55	884	16.07
56	909	16.23
57	927	16.26
58	939	16.19
59	980	16.61
60	948	15.80
61	955	15.66
62	970	15.65
63	998	15.84
64	1000	15.62
65	1023	15.74
66	1039	15.74
67	1038	15.49
68	1062	15.62
69	1086	15.74
70	1094	15.63
71	1115	15.70
72	1146	15.92
73	1139	15.60
74	1160	15.68
75	1182	15.76
76	1196	15.74
77	1234	16.03
78	1258	16.13
79	1243	15.73
80	1575	19.69
81	1656	20.44
82	1716	20.93
83	1701	20.49
84	1740	20.71
85	1751	20.60
86	1787	20.78
87	1844	21.20
88	1831	20.81
89	1864	20.94
90	1878	20.87
91	1903	20.91
92	1926	20.93
93	1941	20.87
94	1946	20.70
95	1978	20.82
96	2000	20.83
97	2004	20.66
98	2026	20.67
99	2053	20.74
100	2046	20.46
101	2088	20.67
102	2110	20.69
103	2145	20.83
104	2155	20.72
105	2172	20.69
106	2198	20.74
107	2214	20.69
108	2232	20.67
109	2256	20.70
110	2279	20.72
111	2304	20.76
112	2318	20.70
113	2344	20.74
114	2369	20.78
115	2458	21.37
116	2478	21.36
117	2540	21.71
118	2601	22.04
119	2660	22.35
120	2633	21.94
121	2591	21.41
122	2615	21.43
123	2661	21.63
124	2576	20.77
125	2597	20.78
126	2647	21.01
127	2692	21.20
128	2711	21.18
129	2717	21.06
130	2945	22.65
131	2809	21.44
132	2992	22.67
133	2797	21.03
134	2851	21.28
135	2800	20.74
136	2819	20.73
137	2839	20.72
138	2861	20.73
139	2879	20.71
140	2906	20.76
141	3038	21.55
142	3039	21.40
143	3036	21.23
144	3168	22.00
145	3236	22.32
146	3292	22.55
147	3481	23.68
148	3590	24.26
149	3624	24.32
150	3761	25.07
151	3159	20.92
152	7630	50.20
153	13080	85.49
154	16190	105.13
155	5262	33.95
156	3322	21.29
157	3317	21.13
158	3285	20.79
159	3310	20.82
160	3319	20.74
161	3348	20.80
162	3374	20.83
163	3983	24.44
164	3308	20.17
165	3329	20.18
166	3351	20.19
167	3380	20.24
168	3391	20.18
169	3408	20.17
170	3433	20.19
171	3453	20.19
172	3478	20.22
173	3494	20.20
174	3523	20.25
175	3537	20.21
176	3552	20.18
177	3575	20.20
178	3596	20.20
179	3614	20.19
180	3632	20.18
181	3656	20.20
182	3678	20.21
183	3704	20.24
184	3727	20.26
185	3750	20.27
186	3752	20.17
187	3780	20.21
188	4337	23.07
189	3718	19.67
190	3736	19.66
191	3761	19.69
192	3930	20.47
193	3801	19.69
194	4352	22.43
195	3730	19.13
196	3770	19.23
197	3774	19.16
198	3794	19.16
199	3814	19.17
200	3751	18.75
201	3738	18.60
202	3771	18.67
203	3792	18.68
204	3808	18.67
205	4550	22.20
206	3743	18.17
207	3766	18.19
208	4064	19.54
209	3900	18.66
210	4191	19.96
211	3975	18.84
212	4017	18.95
213	4014	18.85
214	4459	20.84
215	3914	18.20
216	4003	18.53
217	4060	18.71
218	4176	19.16
219	4109	18.76
220	4149	18.86
221	4118	18.63
222	4056	18.27
223	4056	18.19
224	5323	23.76
225	4096	18.20
226	5157	22.82
227	4135	18.22
228	4147	18.19
229	4171	18.21
230	4186	18.20
231	4206	18.21
232	4229	18.23
233	4242	18.21
234	4265	18.23
235	4280	18.21
236	4300	18.22
237	4331	18.27
238	4328	18.18
239	4354	18.22
240	4367	18.20
241	4388	18.21
242	4417	18.25
243	4421	18.19
244	4443	18.21
245	4577	18.68
246	4483	18.22
247	4502	18.23
248	4518	18.22
249	4533	18.20
250	4550	18.20
251	4576	18.23
252	4590	18.21
253	4607	18.21
254	4626	18.21
255	4644	18.21
256	4665	18.22
257	4743	18.46
258	4706	18.24
259	4715	18.20
