N	Total Time	Average CPE
1	344	344.00
2	31	15.50
3	124	41.33
4	51	12.75
5	130	26.00
6	211	35.17
7	166	23.71
8	229	28.62
9	177	19.67
10	257	25.70
11	267	24.27
12	353	29.42
13	298	22.92
14	366	26.14
15	425	28.33
16	415	25.94
17	419	24.65
18	503	27.94
19	514	27.05
20	409	20.45
21	289	13.76
22	294	13.36
23	306	13.30
24	321	13.38
25	338	13.52
26	342	13.15
27	355	13.15
28	627	22.39
29	684	23.59
30	793	26.43
31	1002	32.32
32	918	28.69
33	825	25.00
34	924	27.18
35	541	15.46
36	471	13.08
37	483	13.05
38	501	13.18
39	507	13.00
40	532	13.30
41	537	13.10
42	545	12.98
43	563	13.09
44	573	13.02
45	596	13.24
46	610	13.26
47	613	13.04
48	631	13.15
49	645	13.16
50	655	13.10
51	671	13.16
52	677	13.02
53	707	13.34
54	731	13.54
55	731	13.29
56	758	13.54
57	777	13.63
58	777	13.40
59	803	13.61
60	816	13.60
61	806	13.21
62	822	13.26
63	840	13.33
64	884	13.81
65	859	13.22
66	904	13.70
67	891	13.30
68	904	13.29
69	940	13.62
70	938	13.40
71	950	13.38
72	962	13.36
73	979	13.41
74	999	13.50
75	1026	13.68
76	1041	13.70
77	1066	13.84
78	1061	13.60
79	1076	13.62
80	1106	13.82
81	1092	13.48
82	1106	13.49
83	1121	13.51
84	1126	13.40
85	1164	13.69
86	1156	13.44
87	1189	13.67
88	1222	13.89
89	1257	14.12
90	1239	13.77
91	1235	13.57
92	1283	13.95
93	1254	13.48
94	1267	13.48
95	1270	13.37
96	1842	19.19
97	1286	13.26
98	1299	13.26
99	1319	13.32
100	1948	19.48
101	1760	17.43
102	2679	26.26
103	3248	31.53
104	3311	31.84
105	2712	25.83
106	1881	17.75
107	1523	14.23
108	1498	13.87
109	1439	13.20
110	1470	13.36
111	1469	13.23
112	1480	13.21
113	1493	13.21
114	1507	13.22
115	1521	13.23
116	1527	13.16
117	1553	13.27
118	1557	13.19
119	1574	13.23
120	1570	13.08
121	1530	12.64
122	1573	12.89
123	1584	12.88
124	1589	12.81
125	1601	12.81
126	1609	12.77
127	1626	12.80
128	1650	12.89
129	1649	12.78
130	1672	12.86
131	1735	13.24
132	1730	13.11
133	1764	13.26
134	1766	13.18
135	1777	13.16
136	1803	13.26
137	1816	13.26
138	1816	13.16
139	1833	13.19
140	1834	13.10
141	1848	13.11
142	1874	13.20
143	1893	13.24
144	1906	13.24
145	1903	13.12
146	1929	13.21
147	1949	13.26
148	1954	13.20
149	2517	16.89
150	1929	12.86
151	1954	12.94
152	2152	14.16
153	2040	13.33
154	2012	13.06
155	2011	12.97
156	2012	12.90
157	2026	12.90
158	2028	12.84
159	2048	12.88
160	2037	12.73
161	2064	12.82
162	2098	12.95
163	2099	12.88
164	2128	12.98
165	2133	12.93
166	2132	12.84
167	2236	13.39
168	2158	12.85
169	2183	12.92
170	2204	12.96
171	2215	12.95
172	2228	12.95
173	2237	12.93
174	2252	12.94
175	2258	12.90
176	2238	12.72
177	2282	12.89
178	2295	12.89
179	2314	12.93
180	2328	12.93
181	2394	13.23
182	2440	13.41
183	2474	13.52
184	2475	13.45
185	2490	13.46
186	2500	13.44
187	2489	13.31
188	2460	13.09
189	2438	12.90
190	2452	12.91
191	2473	12.95
192	2478	12.91
193	2509	13.00
194	2521	12.99
195	2520	12.92
196	2550	13.01
197	2549	12.94
198	2561	12.93
199	2575	12.94
200	2571	12.86
201	2583	12.85
202	2602	12.88
203	2626	12.94
204	2633	12.91
205	2653	12.94
206	2665	12.94
207	2674	12.92
208	2681	12.89
209	2697	12.90
210	2715	12.93
211	2731	12.94
212	2732	12.89
213	2754	12.93
214	2769	12.94
215	2778	12.92
216	2790	12.92
217	2805	12.93
218	2822	12.94
219	2797	12.77
220	2830	12.86
221	2763	12.50
222	2789	12.56
223	2801	12.56
224	2814	12.56
225	2759	12.26
226	2762	12.22
227	2779	12.24
228	2787	12.22
229	2801	12.23
230	2817	12.25
231	2787	12.06
232	2769	11.94
233	2776	11.91
234	2791	11.93
235	2801	11.92
236	2813	11.92
237	2831	11.95
238	2840	11.93
239	2850	11.92
240	2822	11.76
241	2861	11.87
242	2891	11.95
243	2894	11.91
244	2902	11.89
245	2923	11.93
246	2934	11.93
247	2955	11.96
248	2960	11.94
249	2963	11.90
250	2948	11.79
251	2996	11.94
252	3007	11.93
253	3010	11.90
254	3029	11.93
255	3042	11.93
256	3048	11.91
257	3069	11.94
258	3080	11.94
259	3090	11.93
260	3083	11.86
261	3098	11.87
262	3127	11.94
263	3137	11.93
264	3144	11.91
265	3159	11.92
266	3169	11.91
267	3184	11.93
268	3196	11.93
269	3212	11.94
270	3217	11.91
271	3231	11.92
272	3247	11.94
273	3257	11.93
274	3275	11.95
275	3277	11.92
276	3300	11.96
277	3308	11.94
278	3311	11.91
279	3332	11.94
280	3315	11.84
281	3351	11.93
282	3362	11.92
283	3369	11.90
284	3394	11.95
285	3386	11.88
286	3408	11.92
287	3421	11.92
288	3433	11.92
289	3445	11.92
290	3456	11.92
291	3470	11.92
292	3484	11.93
293	3497	11.94
294	3498	11.90
295	3523	11.94
296	3529	11.92
297	3541	11.92
298	3550	11.91
299	3568	11.93
300	3550	11.83
301	3582	11.90
302	3598	11.91
303	3609	11.91
304	3622	11.91
305	3637	11.92
306	3649	11.92
307	3658	11.92
308	3657	11.87
309	3684	11.92
310	3696	11.92
311	3704	11.91
312	3719	11.92
313	3732	11.92
314	3743	11.92
315	3752	11.91
316	3768	11.92
317	3774	11.91
318	3787	11.91
319	3806	11.93
320	3777	11.80
321	3814	11.88
322	3837	11.92
323	3848	11.91
324	3862	11.92
325	3959	12.18
326	3888	11.93
327	3902	11.93
328	4090	12.47
329	3909	11.88
330	3927	11.90
331	3926	11.86
332	3950	11.90
333	3965	11.91
334	3970	11.89
335	3993	11.92
336	3999	11.90
337	4001	11.87
338	4019	11.89
339	4034	11.90
340	4014	11.81
341	4118	12.08
342	4082	11.94
343	4083	11.90
344	4099	11.92
345	4120	11.94
346	4116	11.90
347	4128	11.90
348	4154	11.94
349	4159	11.92
350	4174	11.93
351	4177	11.90
352	4216	11.98
353	4211	11.93
354	4212	11.90
355	4216	11.88
356	4241	11.91
357	4247	11.90
358	4270	11.93
359	4268	11.89
360	4255	11.82
361	4294	11.89
362	4304	11.89
363	4325	11.91
364	4337	11.91
365	4334	11.87
366	4363	11.92
367	4365	11.89
368	4380	11.90
369	4499	12.19
370	4409	11.92
371	4421	11.92
372	4418	11.88
373	4445	11.92
374	4458	11.92
375	4427	11.81
376	4481	11.92
377	4484	11.89
378	4576	12.11
379	4518	11.92
380	4476	11.78
381	4531	11.89
382	4545	11.90
383	4560	11.91
384	4569	11.90
385	4585	11.91
386	4602	11.92
387	4607	11.90
388	4618	11.90
389	4628	11.90
390	4646	11.91
391	4652	11.90
392	4670	11.91
393	4680	11.91
394	4690	11.90
395	4706	11.91
396	4720	11.92
397	4720	11.89
398	4732	11.89
399	4750	11.90
400	4713	11.78
401	4742	11.83
402	4772	11.87
403	4789	11.88
404	4806	11.90
405	4820	11.90
406	4839	11.92
407	4842	11.90
408	4869	11.93
409	4870	11.91
410	4885	11.91
411	4895	11.91
412	4894	11.88
413	4901	11.87
414	4922	11.89
415	4939	11.90
416	4937	11.87
417	4947	11.86
418	4965	11.88
419	4977	11.88
420	4947	11.78
421	4999	11.87
422	5007	11.86
423	5022	11.87
424	5034	11.87
425	5056	11.90
426	5058	11.87
427	5077	11.89
428	5096	11.91
429	5097	11.88
430	5113	11.89
431	5120	11.88
432	5130	11.88
433	5147	11.89
434	5153	11.87
435	5181	11.91
436	5173	11.86
437	5186	11.87
438	5210	11.89
439	5218	11.89
440	5260	11.95
441	5236	11.87
442	5246	11.87
443	5258	11.87
444	5274	11.88
445	5292	11.89
446	5299	11.88
447	5307	11.87
448	5329	11.90
449	5338	11.89
450	5345	11.88
451	5361	11.89
452	5365	11.87
453	5391	11.90
454	5390	11.87
455	5401	11.87
456	5422	11.89
457	5431	11.88
458	5435	11.87
459	5451	11.88
460	5428	11.80
461	5464	11.85
462	5490	11.88
463	5505	11.89
464	5513	11.88
465	5522	11.88
466	5538	11.88
467	5540	11.86
468	5555	11.87
469	5577	11.89
470	5582	11.88
471	5589	11.87
472	5602	11.87
473	5612	11.86
474	5632	11.88
475	5644	11.88
476	5655	11.88
477	5674	11.90
478	5673	11.87
