N	Total Time	Average CPE
1	385	385.00
2	98	49.00
3	106	35.33
4	121	30.25
5	134	26.80
6	151	25.17
7	166	23.71
8	187	23.38
9	202	22.44
10	223	22.30
11	239	21.73
12	262	21.83
13	279	21.46
14	300	21.43
15	318	21.20
16	341	21.31
17	622	36.59
18	616	34.22
19	630	33.16
20	653	32.65
21	672	32.00
22	694	31.55
23	715	31.09
24	736	30.67
25	748	29.92
26	763	29.35
27	775	28.70
28	791	28.25
29	805	27.76
30	819	27.30
31	833	26.87
32	848	26.50
33	1020	30.91
34	1025	30.15
35	1038	29.66
36	1054	29.28
37	1070	28.92
38	1086	28.58
39	1103	28.28
40	1741	43.52
41	1168	28.49
42	1183	28.17
43	1199	27.88
44	1216	27.64
45	1235	27.44
46	1277	27.76
47	1290	27.45
48	1302	27.12
49	1318	26.90
50	1340	26.80
51	1353	26.53
52	1371	26.37
53	1385	26.13
54	1404	26.00
55	1421	25.84
56	1441	25.73
57	1461	25.63
58	1478	25.48
59	1498	25.39
60	1513	25.22
61	1552	25.44
62	1603	25.85
63	1636	25.97
64	1655	25.86
65	1967	30.26
66	1971	29.86
67	1995	29.78
68	2015	29.63
69	2033	29.46
70	2053	29.33
71	2073	29.20
72	2107	29.26
73	2127	29.14
74	2142	28.95
75	2166	28.88
76	2187	28.78
77	2838	36.86
78	2298	29.46
79	2319	29.35
80	2352	29.40
81	2370	29.26
82	2390	29.15
83	2416	29.11
84	2433	28.96
85	2456	28.89
86	2475	28.78
87	2499	28.72
88	2520	28.64
89	3157	35.47
90	2489	27.66
91	2538	27.89
92	2536	27.57
93	2554	27.46
94	2582	27.47
95	2600	27.37
96	2644	27.54
97	2663	27.45
98	2687	27.42
99	2707	27.34
100	2735	27.35
101	2757	27.30
102	3329	32.64
103	2724	26.45
104	2745	26.39
105	2773	26.41
106	2788	26.30
107	2809	26.25
108	2832	26.22
109	2859	26.23
110	2879	26.17
111	2926	26.36
112	3527	31.49
113	2896	25.63
114	2918	25.60
115	2942	25.58
116	2953	25.46
117	2978	25.45
118	3002	25.44
119	3026	25.43
120	3047	25.39
121	3070	25.37
122	3673	30.11
123	3039	24.71
124	3058	24.66
125	3077	24.62
126	3103	24.63
127	3147	24.78
128	3167	24.74
129	3492	27.07
130	3420	26.31
131	3454	26.37
132	3475	26.33
133	3489	26.23
134	3535	26.38
135	3554	26.33
136	3608	26.53
137	3639	26.56
138	3630	26.30
139	3650	26.26
140	3685	26.32
141	3695	26.21
142	3733	26.29
143	3756	26.27
144	3780	26.25
145	3799	26.20
146	3824	26.19
147	3857	26.24
148	3881	26.22
149	3909	26.23
150	3929	26.19
151	3941	26.10
152	3976	26.16
153	3998	26.13
154	4029	26.16
155	4055	26.16
156	4074	26.12
157	4101	26.12
158	4143	26.22
159	4179	26.28
160	4212	26.32
161	4229	26.27
162	4257	26.28
163	4281	26.26
164	4291	26.16
165	4314	26.15
166	4341	26.15
167	4373	26.19
168	4394	26.15
169	4430	26.21
170	4501	26.48
171	4500	26.32
172	4514	26.24
173	4570	26.42
174	4577	26.30
175	4611	26.35
176	4626	26.28
177	4649	26.27
178	4687	26.33
179	4696	26.23
