N	Total Time	Average CPE
1	94	94.00
2	91	45.50
3	103	34.33
4	117	29.25
5	133	26.60
6	140	23.33
7	154	22.00
8	1003	125.38
9	187	20.78
10	199	19.90
11	212	19.27
12	230	19.17
13	246	18.92
14	281	20.07
15	1011	67.40
16	316	19.75
17	507	29.82
18	501	27.83
19	521	27.42
20	543	27.15
21	569	27.10
22	589	26.77
23	615	26.74
24	640	26.67
25	662	26.48
26	690	26.54
27	715	26.48
28	743	26.54
29	764	26.34
30	794	26.47
31	818	26.39
32	848	26.50
33	1087	32.94
34	1096	32.24
35	1128	32.23
36	1157	32.14
37	1186	32.05
38	1215	31.97
39	1243	31.87
40	1276	31.90
41	1305	31.83
42	1343	31.98
43	1373	31.93
44	1404	31.91
45	1434	31.87
46	1467	31.89
47	1503	31.98
48	1538	32.04
49	1574	32.12
50	1608	32.16
51	1645	32.25
52	1681	32.33
53	1718	32.42
54	1751	32.43
55	1789	32.53
56	1826	32.61
57	1862	32.67
58	1900	32.76
59	1940	32.88
60	1982	33.03
61	2022	33.15
62	2058	33.19
63	2102	33.37
64	2144	33.50
65	2402	36.95
66	2436	36.91
67	2477	36.97
68	2522	37.09
69	2564	37.16
70	2602	37.17
71	2644	37.24
72	2690	37.36
73	2737	37.49
74	2782	37.59
75	2827	37.69
76	2876	37.84
77	2919	37.91
78	2971	38.09
79	3019	38.22
80	3071	38.39
81	3121	38.53
82	3169	38.65
83	3228	38.89
84	3277	39.01
85	3322	39.08
86	3388	39.40
87	3425	39.37
88	3474	39.48
89	3530	39.66
90	3591	39.90
91	3687	40.52
92	3804	41.35
93	3850	41.40
94	3890	41.38
95	3935	41.42
96	3998	41.65
97	4085	42.11
98	4145	42.30
99	4204	42.46
100	4997	49.97
101	5840	57.82
102	4317	42.32
103	4378	42.50
104	4451	42.80
105	4506	42.91
106	4601	43.41
107	4631	43.28
108	4694	43.46
109	4750	43.58
110	4813	43.75
111	4876	43.93
112	4953	44.22
113	5007	44.31
114	5061	44.39
115	5148	44.77
116	5205	44.87
117	5267	45.02
118	5323	45.11
119	7194	60.45
120	9198	76.65
121	6327	52.29
122	5745	47.09
123	6554	53.28
124	7326	59.08
125	5790	46.32
126	5868	46.57
127	5949	46.84
128	5996	46.84
129	6348	49.21
130	7978	61.37
131	10329	78.85
132	6712	50.85
133	6643	49.95
134	6655	49.66
135	6733	49.87
136	6785	49.89
137	6871	50.15
138	6980	50.58
139	8385	60.32
140	10545	75.32
141	7323	51.94
142	7374	51.93
143	7475	52.27
144	7638	53.04
145	7645	52.72
146	7692	52.68
147	7778	52.91
148	7873	53.20
149	7942	53.30
150	8003	53.35
151	8088	53.56
152	8171	53.76
153	8227	53.77
154	8327	54.07
155	8397	54.17
156	8479	54.35
157	8681	55.29
158	8640	54.68
159	8726	54.88
160	8837	55.23
161	8913	55.36
162	9022	55.69
163	9121	55.96
164	9209	56.15
165	9278	56.23
166	9367	56.43
167	9448	56.57
168	9557	56.89
169	9648	57.09
170	9715	57.15
171	9800	57.31
172	9883	57.46
173	9972	57.64
174	10060	57.82
175	10148	57.99
176	10238	58.17
177	10365	58.56
178	10434	58.62
179	10532	58.84
180	10627	59.04
181	10733	59.30
182	10853	59.63
183	11001	60.11
184	14531	78.97
185	11150	60.27
186	11279	60.64
187	11369	60.80
188	11474	61.03
189	14946	79.08
190	15061	79.27
191	12584	65.88
192	13688	71.29
193	12066	62.52
194	12130	62.53
195	12373	63.45
196	12543	63.99
197	12487	63.39
198	16070	81.16
199	12686	63.75
200	15252	76.26
201	12937	64.36
202	13116	64.93
203	13108	64.57
204	13250	64.95
205	13377	65.25
206	13488	65.48
207	13598	65.69
208	13713	65.93
209	13841	66.22
210	13950	66.43
211	14061	66.64
212	14184	66.91
213	14301	67.14
214	14397	67.28
215	14506	67.47
216	14649	67.82
217	14754	67.99
218	14887	68.29
219	15008	68.53
220	15119	68.72
221	15293	69.20
222	15375	69.26
223	15494	69.48
224	15624	69.75
225	15734	69.93
226	15857	70.16
227	15940	70.22
228	16075	70.50
229	16250	70.96
230	16319	70.95
231	16416	71.06
232	16560	71.38
233	16680	71.59
234	16799	71.79
235	16903	71.93
236	17058	72.28
237	19264	81.28
238	19458	81.76
239	17443	72.98
240	17574	73.22
241	17950	74.48
242	17903	73.98
243	18032	74.21
244	18228	74.70
245	18267	74.56
246	18421	74.88
247	18532	75.03
248	18684	75.34
249	18773	75.39
250	18921	75.68
251	19097	76.08
252	19158	76.02
253	19292	76.25
254	19430	76.50
255	19567	76.73
256	19701	76.96
257	20150	78.40
258	20285	78.62
259	20398	78.76
260	20515	78.90
261	20667	79.18
262	20826	79.49
263	22559	85.78
264	21109	79.96
265	21200	80.00
266	21331	80.19
267	21464	80.39
268	21594	80.57
269	21699	80.67
270	21913	81.16
271	22017	81.24
272	22152	81.44
273	22301	81.69
274	22439	81.89
275	22536	81.95
276	26023	94.29
277	26741	96.54
278	25524	91.81
279	23344	83.67
280	23322	83.29
281	23467	83.51
282	23545	83.49
283	23770	83.99
284	23930	84.26
285	24064	84.44
286	24192	84.59
287	24412	85.06
288	24446	84.88
289	24572	85.02
290	24736	85.30
291	24902	85.57
292	34981	119.80
293	25168	85.90
294	25310	86.09
295	29913	101.40
296	29761	100.54
297	31375	105.64
298	25895	86.90
299	26067	87.18
300	29416	98.05
301	26401	87.71
302	26620	88.15
303	26825	88.53
304	28621	94.15
305	27157	89.04
306	27321	89.28
307	27482	89.52
308	27658	89.80
309	27776	89.89
310	27884	89.95
311	28129	90.45
312	28209	90.41
313	28390	90.70
314	28497	90.75
315	30218	95.93
316	28753	90.99
317	28849	91.01
318	29689	93.36
319	29980	93.98
320	30154	94.23
321	30276	94.32
322	30402	94.42
323	30606	94.76
324	30820	95.12
325	30976	95.31
326	31044	95.23
327	31198	95.41
328	31459	95.91
329	31599	96.05
330	31653	95.92
331	31816	96.12
332	31972	96.30
333	32175	96.62
334	32471	97.22
335	32489	96.98
336	32687	97.28
337	32852	97.48
338	32977	97.57
339	33240	98.05
340	33388	98.20
341	40041	117.42
342	37710	110.26
343	34095	99.40
344	34341	99.83
345	36121	104.70
346	34597	99.99
347	34671	99.92
348	34878	100.22
349	35163	100.75
350	35279	100.80
351	35360	100.74
352	35531	100.94
353	35805	101.43
354	35907	101.43
355	36032	101.50
356	38552	108.29
357	36495	102.23
358	38684	108.06
359	36800	102.51
360	43710	121.42
361	37198	103.04
362	37322	103.10
363	37571	103.50
364	37701	103.57
365	37840	103.67
366	38069	104.01
367	38209	104.11
368	38446	104.47
369	38671	104.80
370	38885	105.09
371	38958	105.01
372	39236	105.47
373	39447	105.76
374	39680	106.10
375	39729	105.94
376	39986	106.35
377	40235	106.72
378	40415	106.92
379	40590	107.10
380	40796	107.36
381	41055	107.76
382	41175	107.79
383	41323	107.89
384	41575	108.27
385	41691	108.29
386	41888	108.52
387	42088	108.75
388	42349	109.15
389	42601	109.51
390	42837	109.84
391	42922	109.77
392	43164	110.11
393	43449	110.56
394	43538	110.50
395	43698	110.63
396	43955	111.00
397	44172	111.26
398	44370	111.48
399	44542	111.63
400	44847	112.12
401	44972	112.15
402	45115	112.23
403	45378	112.60
404	45617	112.91
405	45776	113.03
406	45966	113.22
407	46160	113.42
408	46372	113.66
409	46636	114.02
410	46820	114.20
411	47039	114.45
412	47213	114.59
413	47389	114.74
414	47633	115.06
415	47795	115.17
416	48073	115.56
417	48370	116.00
418	48482	115.99
419	48635	116.07
420	48940	116.52
421	49095	116.62
422	48787	115.61
423	48265	114.10
424	48512	114.42
425	48705	114.60
426	48954	114.92
427	49057	114.89
428	49282	115.14
429	55340	129.00
430	49718	115.62
431	49889	115.75
432	50108	115.99
433	51950	119.98
434	54400	125.35
435	52566	120.84
436	54090	124.06
437	51164	117.08
438	51356	117.25
439	51612	117.57
440	51805	117.74
441	52031	117.98
442	52303	118.33
443	52396	118.28
444	56845	128.03
445	53073	119.27
446	53321	119.55
447	56740	126.94
448	56749	126.67
449	55058	122.62
450	54149	120.33
451	54370	120.55
452	54702	121.02
453	54814	121.00
454	55006	121.16
455	55203	121.33
456	55417	121.53
457	55657	121.79
458	55951	122.16
459	56147	122.32
460	56308	122.41
461	56539	122.64
462	56744	122.82
463	56963	123.03
464	57177	123.23
465	57534	123.73
466	57738	123.90
467	57881	123.94
468	58069	124.08
469	58341	124.39
470	58541	124.56
471	58730	124.69
472	58998	125.00
473	59316	125.40
474	59411	125.34
475	59635	125.55
476	59899	125.84
477	60100	126.00
478	60355	126.27
479	60579	126.47
480	60941	126.96
481	61056	126.94
482	61261	127.10
483	61483	127.29
484	62514	129.16
485	63531	130.99
486	62167	127.92
487	69453	142.61
488	62535	128.15
489	62778	128.38
490	66566	135.85
491	67551	137.58
492	63582	129.23
493	63910	129.63
494	64056	129.67
495	64249	129.80
496	64616	130.27
497	64724	130.23
498	65066	130.65
499	65231	130.72
500	70417	140.83
501	65746	131.23
502	65986	131.45
503	66196	131.60
504	66480	131.90
505	66675	132.03
506	67043	132.50
507	67180	132.50
508	67376	132.63
509	67716	133.04
510	67885	133.11
511	68160	133.39
512	74697	145.89
513	69299	135.09
514	69368	134.96
515	69563	135.07
516	69806	135.28
517	70040	135.47
518	70441	135.99
519	70539	135.91
520	76436	146.99
521	71880	137.97
522	71323	136.63
523	73226	140.01
524	77849	148.57
525	76724	146.14
526	72376	137.60
527	72613	137.79
528	72910	138.09
529	73255	138.48
530	73399	138.49
531	73583	138.57
532	74620	140.26
533	74080	138.99
534	78579	147.15
535	74652	139.54
536	74799	139.55
537	75095	139.84
538	75361	140.08
539	75635	140.32
540	75954	140.66
541	77702	143.63
542	76417	140.99
543	76660	141.18
544	76915	141.39
545	77175	141.61
546	77573	142.08
547	77682	142.01
548	77925	142.20
549	85405	155.56
550	82492	149.99
551	78416	142.32
552	78704	142.58
553	78943	142.75
554	79364	143.26
555	79456	143.16
556	79704	143.35
557	80013	143.65
558	80254	143.82
559	80619	144.22
560	80751	144.20
561	81043	144.46
562	81274	144.62
563	81534	144.82
564	81935	145.27
565	82129	145.36
566	82310	145.42
567	82603	145.68
568	82861	145.88
569	83263	146.33
570	83359	146.24
571	83618	146.44
572	83915	146.70
573	84172	146.90
574	84505	147.22
575	84714	147.33
576	84947	147.48
577	85217	147.69
578	85479	147.89
579	85883	148.33
580	86036	148.34
581	86273	148.49
582	86597	148.79
583	86868	149.00
584	87228	149.36
585	87356	149.33
586	87687	149.64
587	87918	149.78
588	89774	152.68
589	88646	150.50
590	88712	150.36
591	88941	150.49
592	89238	150.74
593	89661	151.20
594	90712	152.71
595	90183	151.57
596	90402	151.68
597	90677	151.89
598	91096	152.33
599	91288	152.40
600	97372	162.29
601	91810	152.76
602	92228	153.20
603	92420	153.27
604	92659	153.41
605	92944	153.63
606	93226	153.84
607	93678	154.33
608	93811	154.29
609	94100	154.52
610	99128	162.50
611	94667	154.94
612	94822	154.94
613	95117	155.17
614	95444	155.45
615	102087	166.00
616	97008	157.48
617	96276	156.04
618	96538	156.21
619	96783	156.35
620	97234	156.83
621	100946	162.55
622	103154	165.84
623	100213	160.86
624	98357	157.62
625	98525	157.64
626	98856	157.92
627	99139	158.12
628	99553	158.52
629	99709	158.52
630	103491	164.27
631	100388	159.09
632	100760	159.43
633	100985	159.53
634	101294	159.77
635	101579	159.97
636	101847	160.14
637	102184	160.41
638	102498	160.66
639	104495	163.53
640	102935	160.84
641	103335	161.21
642	103555	161.30
643	103801	161.43
644	109143	169.48
645	104654	162.25
646	104758	162.16
647	105014	162.31
648	105367	162.60
649	105822	163.05
650	105974	163.04
651	106263	163.23
652	106607	163.51
653	107049	163.93
654	107214	163.94
655	107534	164.17
656	107870	164.44
657	108144	164.60
658	108372	164.70
659	108691	164.93
660	109098	165.30
661	109299	165.35
662	109678	165.68
663	109860	165.70
664	110411	166.28
665	110535	166.22
666	110831	166.41
667	111122	166.60
668	116214	173.97
669	111689	166.95
670	112025	167.20
671	112335	167.41
672	112790	167.84
673	113054	167.99
674	113252	168.03
675	113704	168.45
676	113923	168.53
677	114194	168.68
678	114506	168.89
679	114841	169.13
680	115135	169.32
681	115423	169.49
682	115773	169.76
683	119735	175.31
684	116420	170.20
685	121437	177.28
686	121923	177.73
687	117354	170.82
688	117683	171.05
689	118018	171.29
690	118440	171.65
691	118609	171.65
692	118931	171.87
693	119404	172.30
694	119643	172.40
695	119945	172.58
696	120192	172.69
697	120641	173.09
698	120876	173.17
699	121166	173.34
700	126556	180.79
701	121708	173.62
702	122070	173.89
703	122341	174.03
704	122804	174.44
705	123068	174.56
706	123335	174.70
707	123738	175.02
708	123943	175.06
709	124245	175.24
710	124791	175.76
711	132506	186.37
712	125358	176.06
713	125693	176.29
714	126152	176.68
715	138662	193.93
716	131744	184.00
717	126967	177.08
718	134064	186.72
719	127633	177.51
720	127955	177.72
721	131918	182.97
722	130218	180.36
723	128904	178.29
724	129357	178.67
725	130426	179.90
726	129926	178.96
727	130261	179.18
728	132449	181.94
729	130913	179.58
730	131298	179.86
731	131703	180.17
732	131916	180.21
733	132267	180.45
734	132681	180.76
735	132917	180.84
736	133244	181.04
737	133738	181.46
738	133900	181.44
739	134223	181.63
740	134690	182.01
741	134924	182.08
742	135267	182.30
743	135715	182.66
744	135940	182.72
745	136268	182.91
746	160238	214.80
747	142295	190.49
748	157170	210.12
749	181882	242.83
750	142648	190.20
751	147421	196.30
752	141994	188.82
753	139164	184.81
754	139685	185.26
755	163002	215.90
756	140277	185.55
757	140637	185.78
758	144117	190.13
759	141218	186.06
760	141664	186.40
761	141860	186.41
762	142190	186.60
763	142551	186.83
764	142901	187.04
765	143225	187.22
766	143657	187.54
767	143879	187.59
768	144218	187.78
769	144682	188.14
770	145046	188.37
771	148534	192.65
772	145751	188.80
773	145880	188.72
774	146324	189.05
775	146807	189.43
776	152926	197.07
777	151070	194.43
778	155010	199.24
779	151736	194.78
780	152261	195.21
781	152339	195.06
782	154562	197.65
783	153301	195.79
784	153561	195.87
785	153920	196.08
786	154391	196.43
787	154684	196.55
788	155152	196.89
789	155465	197.04
790	155800	197.22
791	156222	197.50
792	160179	202.25
793	156875	197.82
794	157275	198.08
795	157500	198.11
796	157949	198.43
797	158316	198.64
798	158645	198.80
799	159175	199.22
800	159309	199.14
801	159713	199.39
802	160306	199.88
803	158972	197.97
804	160214	199.27
805	162084	201.35
806	157544	195.46
807	161743	200.43
808	158402	196.04
809	167042	206.48
810	159162	196.50
811	161128	198.68
812	173064	213.13
813	160223	197.08
814	160634	197.34
815	161175	197.76
816	164857	202.03
817	161670	197.88
818	162000	198.04
819	162331	198.21
820	164341	200.42
821	163074	198.63
822	165132	200.89
823	163834	199.07
824	164172	199.24
825	164593	199.51
826	164852	199.58
827	170164	205.76
828	165786	200.22
829	166149	200.42
830	168517	203.03
831	166882	200.82
832	167275	201.05
833	169654	203.67
834	168003	201.44
835	168444	201.73
836	168801	201.92
837	169080	202.01
838	169611	202.40
839	173529	206.83
