N	Total Time	Average CPE
1	358	358.00
2	88	44.00
3	97	32.33
4	111	27.75
5	123	24.60
6	138	23.00
7	156	22.29
8	173	21.62
9	181	20.11
10	199	19.90
11	214	19.45
12	234	19.50
13	248	19.08
14	289	20.64
15	1014	67.60
16	306	19.12
17	567	33.35
18	565	31.39
19	590	31.05
20	610	30.50
21	638	30.38
22	668	30.36
23	695	30.22
24	726	30.25
25	746	29.84
26	761	29.27
27	796	29.48
28	833	29.75
29	868	29.93
30	893	29.77
31	919	29.65
32	947	29.59
33	1129	34.21
34	1130	33.24
35	1150	32.86
36	1177	32.69
37	1207	32.62
38	1233	32.45
39	1269	32.54
40	1306	32.65
41	1344	32.78
42	1382	32.90
43	1414	32.88
44	1452	33.00
45	1489	33.09
46	1548	33.65
47	1593	33.89
48	1621	33.77
49	1648	33.63
50	1676	33.52
51	1701	33.35
52	1729	33.25
53	1748	32.98
54	1752	32.44
55	1774	32.25
56	1812	32.36
57	1847	32.40
58	1886	32.52
59	1922	32.58
60	1961	32.68
61	2106	34.52
62	2077	33.50
63	2106	33.43
64	2135	33.36
65	2267	34.88
66	2271	34.41
67	2297	34.28
68	2326	34.21
69	2359	34.19
70	2387	34.10
71	2421	34.10
72	2590	35.97
73	3396	46.52
74	7144	96.54
75	2582	34.43
76	2651	34.88
77	2708	35.17
78	2737	35.09
79	2766	35.01
80	2795	34.94
81	2825	34.88
82	2853	34.79
83	2884	34.75
84	2910	34.64
85	2934	34.52
86	2934	34.12
87	2959	34.01
88	3002	34.11
89	3043	34.19
90	3083	34.26
91	3121	34.30
92	3200	34.78
93	3253	34.98
94	3282	34.91
95	3313	34.87
96	3343	34.82
97	3372	34.76
98	3404	34.73
99	3432	34.67
100	5032	50.32
101	5055	50.05
102	3489	34.21
103	3516	34.14
104	3559	34.22
105	3597	34.26
106	3638	34.32
107	3723	34.79
108	3780	35.00
109	3815	35.00
110	3846	34.96
111	3878	34.94
112	3907	34.88
113	3941	34.88
114	3970	34.82
115	4002	34.80
116	4033	34.77
117	4057	34.68
118	4060	34.41
119	4096	34.42
120	4138	34.48
121	4181	34.55
122	4223	34.61
123	4287	34.85
124	4360	35.16
125	4391	35.13
126	7368	58.48
127	5435	42.80
128	4498	35.14
129	4871	37.76
130	4715	36.27
131	4751	36.27
132	4794	36.32
133	4836	36.36
134	4879	36.41
135	4982	36.90
136	5014	36.87
137	5028	36.70
138	5030	36.45
139	5063	36.42
140	5095	36.39
141	5128	36.37
142	5191	36.56
143	5245	36.68
144	5275	36.63
145	5320	36.69
146	5363	36.73
147	5404	36.76
148	5446	36.80
149	5489	36.84
150	5532	36.88
151	5628	37.27
152	5610	36.91
153	5625	36.76
154	5630	36.56
155	5662	36.53
156	5692	36.49
157	5727	36.48
158	5780	36.58
159	5848	36.78
160	5881	36.76
161	5992	37.22
162	5972	36.86
163	6014	36.90
164	6057	36.93
165	6100	36.97
166	6143	37.01
167	6188	37.05
168	6223	37.04
169	6240	36.92
170	6244	36.73
171	6278	36.71
172	6311	36.69
173	6348	36.69
174	6399	36.78
175	6470	36.97
176	6506	36.97
177	6550	37.01
178	6597	37.06
179	6642	37.11
180	6689	37.16
181	6733	37.20
182	6777	37.24
183	6820	37.27
184	6858	37.27
185	6876	37.17
186	6881	36.99
187	6917	36.99
188	6951	36.97
189	7044	37.27
190	7053	37.12
191	7116	37.26
192	7153	37.26
193	7199	37.30
194	7247	37.36
195	7293	37.40
196	7340	37.45
197	7386	37.49
198	7430	37.53
199	7480	37.59
200	9815	49.08
201	7517	37.40
202	7430	36.78
203	7468	36.79
