N	Total Time	Average CPE
1	206	206.00
2	105	52.50
3	119	39.67
4	140	35.00
5	152	30.40
6	168	28.00
7	184	26.29
8	205	25.62
9	222	24.67
10	241	24.10
11	260	23.64
12	284	23.67
13	303	23.31
14	328	23.43
15	347	23.13
16	373	23.31
17	585	34.41
18	582	32.33
19	612	32.21
20	640	32.00
21	664	31.62
22	699	31.77
23	728	31.65
24	765	31.88
25	788	31.52
26	807	31.04
27	841	31.15
28	881	31.46
29	920	31.72
30	946	31.53
31	1032	33.29
32	1004	31.38
33	1320	40.00
34	1290	37.94
35	1316	37.60
36	1344	37.33
37	1427	38.57
38	1408	37.05
39	1439	36.90
40	1483	37.08
41	1655	40.37
42	1627	38.74
43	1682	39.12
44	5636	128.09
45	1917	42.60
46	1827	39.72
47	1857	39.51
48	1891	39.40
49	1927	39.33
50	1962	39.24
51	2076	40.71
52	2029	39.02
53	2046	38.60
54	2045	37.87
55	2072	37.67
56	2110	37.68
57	2191	38.44
58	2174	37.48
59	2214	37.53
60	2337	38.95
61	2366	38.79
62	2499	40.31
63	2415	38.33
64	2553	39.89
65	3104	47.75
66	2715	41.14
67	2758	41.16
68	2798	41.15
69	2933	42.51
70	2873	41.04
71	2961	41.70
72	2937	40.79
73	2968	40.66
74	3163	42.74
75	3070	40.93
76	3328	43.79
77	3174	41.22
78	3314	42.49
79	3250	41.14
80	3295	41.19
81	3448	42.57
82	3482	42.46
83	3417	41.17
84	3520	41.90
85	3464	40.75
86	3461	40.24
87	3489	40.10
88	3520	40.00
89	3554	39.93
90	3586	39.84
91	3638	39.98
92	3707	40.29
93	3748	40.30
94	3791	40.33
95	3835	40.37
96	3877	40.39
97	3920	40.41
98	3963	40.44
99	4005	40.45
100	4050	40.50
101	4129	40.88
102	4061	39.81
103	4091	39.72
104	4125	39.66
105	4176	39.77
106	4318	40.74
107	4258	39.79
108	4314	39.94
109	4359	39.99
110	4402	40.02
111	4445	40.05
112	4491	40.10
113	4536	40.14
114	4578	40.16
115	4623	40.20
116	4659	40.16
117	4675	39.96
118	4679	39.65
119	4711	39.59
120	4746	39.55
121	4782	39.52
122	4988	40.89
123	4975	40.45
124	4961	40.01
125	4990	39.92
126	5054	40.11
127	5078	39.98
128	5125	40.04
129	5520	42.79
130	5430	41.77
131	5412	41.31
132	5543	41.99
133	5567	41.86
134	5732	42.78
135	5661	41.93
136	5753	42.30
137	5721	41.76
138	5778	41.87
139	5857	42.14
140	5799	41.42
141	5887	41.75
142	5877	41.39
143	5948	41.59
144	6046	41.99
145	6035	41.62
146	6136	42.03
147	6189	42.10
148	6175	41.72
149	6397	42.93
150	6380	42.53
151	6399	42.38
152	6456	42.47
153	6446	42.13
154	6445	41.85
155	6520	42.06
156	6452	41.36
157	6491	41.34
158	6600	41.77
159	6609	41.57
160	6670	41.69
161	6758	41.98
162	6744	41.63
163	6874	42.17
164	6840	41.71
165	6894	41.78
166	8035	48.40
167	5409	32.39
168	5434	32.35
169	5477	32.41
170	5502	32.36
171	5535	32.37
172	5576	32.42
173	5626	32.52
174	5664	32.55
175	5692	32.53
176	5734	32.58
177	5765	32.57
178	5808	32.63
179	5832	32.58
180	5871	32.62
181	7865	43.45
182	10294	56.56
183	5927	32.39
184	5938	32.27
185	5968	32.26
186	5998	32.25
187	6034	32.27
188	6077	32.32
189	6129	32.43
190	6162	32.43
191	6202	32.47
192	6240	32.50
193	6279	32.53
194	6313	32.54
195	6348	32.55
196	6381	32.56
197	6417	32.57
198	6451	32.58
199	6491	32.62
200	6540	32.70
201	6574	32.71
202	6640	32.87
203	6628	32.65
204	6672	32.71
205	6729	32.82
206	6759	32.81
207	6803	32.86
208	6850	32.93
209	6885	32.94
210	6910	32.90
211	6950	32.94
212	6989	32.97
213	7022	32.97
214	7061	33.00
215	7095	33.00
216	7145	33.08
217	7179	33.08
218	7202	33.04
219	7249	33.10
220	7380	33.55
221	7353	33.27
222	7385	33.27
223	7423	33.29
224	8074	36.04
225	7542	33.52
226	7577	33.53
227	8202	36.13
228	7653	33.57
229	7698	33.62
230	7730	33.61
231	9454	40.93
232	7954	34.28
233	7944	34.09
234	7853	33.56
235	7904	33.63
236	7949	33.68
237	8519	35.95
238	8219	34.53
239	8186	34.25
240	8238	34.33
241	8141	33.78
242	8170	33.76
243	8215	33.81
244	8256	33.84
245	8291	33.84
246	8334	33.88
247	8427	34.12
248	8428	33.98
249	8449	33.93
250	8478	33.91
251	8541	34.03
252	8599	34.12
253	8649	34.19
254	8728	34.36
255	8737	34.26
256	8825	34.47
257	9018	35.09
258	9093	35.24
259	9101	35.14
260	9214	35.44
261	9277	35.54
262	9304	35.51
263	9378	35.66
264	9418	35.67
265	9522	35.93
266	9451	35.53
267	9473	35.48
268	9539	35.59
269	9575	35.59
270	9670	35.81
271	9652	35.62
272	9696	35.65
273	9740	35.68
274	9789	35.73
275	9855	35.84
276	10789	39.09
277	9964	35.97
278	10789	38.81
279	10047	36.01
280	10110	36.11
281	10146	36.11
282	10173	36.07
283	10208	36.07
284	10266	36.15
285	10300	36.14
286	10343	36.16
287	10393	36.21
288	10437	36.24
289	10474	36.24
290	10521	36.28
291	10561	36.29
