N	Total Time	Average CPE
1	259	259.00
2	89	44.50
3	88	29.33
4	96	24.00
5	104	20.80
6	112	18.67
7	973	139.00
8	141	17.62
9	865	96.11
10	152	15.20
11	164	14.91
12	176	14.67
13	188	14.46
14	202	14.43
15	215	14.33
16	232	14.50
17	1247	73.35
18	501	27.83
19	513	27.00
20	532	26.60
21	541	25.76
22	556	25.27
23	572	24.87
24	592	24.67
25	610	24.40
26	626	24.08
27	646	23.93
28	665	23.75
29	684	23.59
30	703	23.43
31	726	23.42
32	746	23.31
33	944	28.61
34	929	27.32
35	950	27.14
36	978	27.17
37	998	26.97
38	1021	26.87
39	1045	26.79
40	1069	26.73
41	1094	26.68
42	1120	26.67
43	1143	26.58
44	1168	26.55
45	1197	26.60
46	1225	26.63
47	1250	26.60
48	1276	26.58
49	1304	26.61
50	1334	26.68
51	1364	26.75
52	1394	26.81
53	1428	26.94
54	1453	26.91
55	1486	27.02
56	1515	27.05
57	1544	27.09
58	1575	27.16
59	1604	27.19
60	1641	27.35
61	1668	27.34
62	1700	27.42
63	1737	27.57
64	1770	27.66
65	2066	31.78
66	2086	31.61
67	2118	31.61
68	2154	31.68
69	2188	31.71
70	2228	31.83
71	2262	31.86
72	2307	32.04
73	2346	32.14
74	2382	32.19
75	2421	32.28
76	2456	32.32
77	2501	32.48
78	2534	32.49
79	2572	32.56
80	2617	32.71
81	2657	32.80
82	2703	32.96
83	2741	33.02
84	2783	33.13
85	2827	33.26
86	2866	33.33
87	2933	33.71
88	2987	33.94
89	3021	33.94
90	3057	33.97
91	3119	34.27
92	3168	34.43
93	3223	34.66
94	3397	36.14
95	3417	35.97
96	3451	35.95
97	3524	36.33
98	3552	36.24
99	3600	36.36
100	5217	52.17
101	5404	53.50
102	3721	36.48
103	3806	36.95
104	3843	36.95
105	3914	37.28
106	3952	37.28
107	3993	37.32
108	4041	37.42
109	4111	37.72
110	4186	38.05
111	4211	37.94
112	4261	38.04
113	4316	38.19
114	4471	39.22
115	4424	38.47
116	4516	38.93
117	4564	39.01
118	4619	39.14
119	4669	39.24
120	5875	48.96
121	10140	83.80
122	4928	40.39
123	5009	40.72
124	5051	40.73
125	4998	39.98
126	5047	40.06
127	5103	40.18
128	5247	40.99
129	5524	42.82
130	5502	42.32
131	5574	42.55
132	5645	42.77
133	5746	43.20
134	5832	43.52
135	5933	43.95
136	5980	43.97
137	6080	44.38
138	6159	44.63
139	6231	44.83
140	6485	46.32
141	6549	46.45
142	6588	46.39
143	6671	46.65
144	6734	46.76
145	6825	47.07
146	6927	47.45
147	6976	47.46
148	7047	47.61
149	7127	47.83
150	7161	47.74
151	7213	47.77
152	7313	48.11
153	7392	48.31
154	7479	48.56
155	7562	48.79
156	7648	49.03
157	7726	49.21
158	7819	49.49
159	7915	49.78
160	8007	50.04
161	8105	50.34
162	8181	50.50
163	8265	50.71
164	8305	50.64
165	8401	50.92
166	8473	51.04
167	8569	51.31
168	8707	51.83
169	8737	51.70
170	8840	52.00
171	8913	52.12
172	8993	52.28
173	9064	52.39
174	9167	52.68
175	9232	52.75
176	9327	52.99
177	9485	53.59
178	9495	53.34
179	9589	53.57
180	9691	53.84
181	9764	53.94
182	9861	54.18
183	9963	54.44
184	10019	54.45
185	10126	54.74
186	10231	55.01
187	10305	55.11
188	10416	55.40
189	10499	55.55
190	10589	55.73
191	10689	55.96
192	10781	56.15
193	10884	56.39
194	10985	56.62
195	11071	56.77
196	11180	57.04
197	11257	57.14
198	11372	57.43
199	11462	57.60
200	14869	74.34
201	11673	58.07
202	11806	58.45
203	11902	58.63
204	12006	58.85
205	12145	59.24
206	13057	63.38
207	14646	70.75
208	12366	59.45
209	12504	59.83
210	12651	60.24
211	12783	60.58
212	12823	60.49
213	12947	60.78
214	14799	69.15
215	16600	77.21
216	13284	61.50
217	13326	61.41
218	13424	61.58
219	17255	78.79
220	16218	73.72
221	13753	62.23
222	13858	62.42
223	13984	62.71
224	14061	62.77
225	14173	62.99
226	14261	63.10
227	14382	63.36
228	14498	63.59
229	14602	63.76
230	14724	64.02
231	14893	64.47
232	15146	65.28
233	15143	64.99
234	15286	65.32
235	15400	65.53
236	15524	65.78
237	15640	65.99
238	15725	66.07
239	15870	66.40
240	15974	66.56
241	16118	66.88
242	16277	67.26
243	16424	67.59
244	16533	67.76
245	16663	68.01
246	16798	68.28
247	16939	68.58
248	17037	68.70
249	17158	68.91
250	17301	69.20
251	17441	69.49
252	17573	69.73
