N	Total Time	Average CPE
1	313	313.00
2	32	16.00
3	119	39.67
4	51	12.75
5	122	24.40
6	199	33.17
7	149	21.29
8	212	26.50
9	1005	111.67
10	946	94.60
11	260	23.64
12	361	30.08
13	461	35.46
14	353	25.21
15	355	23.67
16	362	22.62
17	376	22.12
18	444	24.67
19	467	24.58
20	380	19.00
21	271	12.90
22	280	12.73
23	292	12.70
24	306	12.75
25	319	12.76
26	328	12.62
27	339	12.56
28	577	20.61
29	627	21.62
30	752	25.07
31	752	24.26
32	1242	38.81
33	742	22.48
34	851	25.03
35	502	14.34
36	442	12.28
37	461	12.46
38	471	12.39
39	480	12.31
40	507	12.68
41	504	12.29
42	520	12.38
43	525	12.21
44	541	12.30
45	560	12.44
46	571	12.41
47	576	12.26
48	594	12.38
49	605	12.35
50	612	12.24
51	629	12.33
52	634	12.19
53	659	12.43
54	665	12.31
55	1516	27.56
56	694	12.39
57	708	12.42
58	714	12.31
59	718	12.17
60	742	12.37
61	732	12.00
62	749	12.08
63	767	12.17
64	783	12.23
65	791	12.17
66	808	12.24
67	818	12.21
68	828	12.18
69	846	12.26
70	853	12.19
71	861	12.13
72	880	12.22
73	890	12.19
74	890	12.03
75	913	12.17
76	922	12.13
77	936	12.16
78	949	12.17
79	956	12.10
80	973	12.16
81	969	11.96
82	985	12.01
83	1004	12.10
84	1018	12.12
85	1030	12.12
86	1038	12.07
87	1054	12.11
88	1058	12.02
89	1079	12.12
90	1090	12.11
91	1097	12.05
92	1122	12.20
93	1124	12.09
94	1142	12.15
95	1148	12.08
96	1159	12.07
97	1177	12.13
98	1185	12.09
99	1193	12.05
100	2049	20.49
101	1944	19.25
102	1229	12.05
103	1248	12.12
104	1258	12.10
105	1261	12.01
106	1292	12.19
107	1284	12.00
108	1307	12.10
109	1315	12.06
110	1331	12.10
111	1338	12.05
112	1354	12.09
113	1361	12.04
114	1378	12.09
115	1388	12.07
116	1400	12.07
117	1414	12.09
118	1426	12.08
119	1430	12.02
120	1440	12.00
121	1435	11.86
122	1477	12.11
123	1489	12.11
124	1488	12.00
125	1498	11.98
126	1506	11.95
127	1520	11.97
128	1546	12.08
129	1543	11.96
130	1566	12.05
131	1670	12.75
132	1578	11.95
133	1617	12.16
134	1612	12.03
135	1621	12.01
136	1644	12.09
137	2500	18.25
138	2378	17.23
139	1671	12.02
140	1672	11.94
141	1675	11.88
142	1708	12.03
143	1724	12.06
144	1729	12.01
145	1734	11.96
146	1753	12.01
147	1775	12.07
148	1779	12.02
149	1790	12.01
150	1803	12.02
151	1849	12.25
152	5485	36.09
153	1885	12.32
154	2868	18.62
155	1909	12.32
156	1879	12.04
157	1885	12.01
158	1902	12.04
159	2745	17.26
160	1906	11.91
161	1910	11.86
162	1941	11.98
163	2911	17.86
164	1980	12.07
165	1981	12.01
166	1988	11.98
167	1998	11.96
168	2013	11.98
169	2026	11.99
170	3103	18.25
171	4760	27.84
172	2068	12.02
173	2067	11.95
174	3044	17.49
175	6555	37.46
176	2075	11.79
177	2108	11.91
178	2124	11.93
179	4252	23.75
180	2136	11.87
181	2156	11.91
182	2171	11.93
183	2186	11.95
184	2200	11.96
185	2208	11.94
186	2207	11.87
187	2235	11.95
188	2252	11.98
189	2253	11.92
190	2271	11.95
191	2284	11.96
192	2289	11.92
193	2310	11.97
194	2311	11.91
195	2329	11.94
196	2343	11.95
197	2358	11.97
198	2364	11.94
199	2376	11.94
200	3949	19.75
201	2385	11.87
202	2412	11.94
203	2420	11.92
204	2438	11.95
205	2450	11.95
206	2460	11.94
207	2465	11.91
208	2482	11.93
209	2494	11.93
210	2578	12.28
211	2517	11.93
212	2527	11.92
213	2550	11.97
214	2559	11.96
215	2565	11.93
216	2573	11.91
217	2593	11.95
218	2604	11.94
219	2613	11.93
220	2616	11.89
221	2618	11.85
222	2649	11.93
223	2660	11.93
224	2679	11.96
225	2659	11.82
226	2703	11.96
227	2711	11.94
228	2796	12.26
229	2731	11.93
230	2745	11.93
231	2757	11.94
232	2778	11.97
233	2784	11.95
234	2791	11.93
235	2801	11.92
