N	Total Time	Average CPE
1	96	96.00
2	208	104.00
3	303	101.00
4	400	100.00
5	520	104.00
6	636	106.00
7	749	107.00
8	879	109.88
9	972	108.00
10	1103	110.30
11	1225	111.36
12	1329	110.75
13	1474	113.38
14	1573	112.36
15	1690	112.67
16	1806	112.88
17	1920	112.94
18	2039	113.28
19	2156	113.47
20	2274	113.70
21	2388	113.71
22	2512	114.18
23	2649	115.17
24	2751	114.62
25	2860	114.40
26	2978	114.54
27	3096	114.67
28	3208	114.57
29	3324	114.62
30	3440	114.67
31	3557	114.74
32	3673	114.78
33	3792	114.91
34	3907	114.91
35	4130	118.00
36	4150	115.28
37	4271	115.43
38	4447	117.03
39	4500	115.38
40	4618	115.45
41	4734	115.46
42	4856	115.62
43	4994	116.14
44	5130	116.59
45	5224	116.09
46	5308	115.39
47	5426	115.45
48	5538	115.38
49	5679	115.90
50	5774	115.48
51	5890	115.49
52	6006	115.50
53	6127	115.60
54	6240	115.56
55	6359	115.62
56	6494	115.96
57	6741	118.26
58	6706	115.62
59	6925	117.37
60	6957	115.95
61	7075	115.98
62	7176	115.74
63	7294	115.78
64	7409	115.77
65	7529	115.83
66	7642	115.79
67	7760	115.82
68	8042	118.26
69	7995	115.87
70	8111	115.87
71	8226	115.86
72	8379	116.38
73	8475	116.10
74	8592	116.11
75	8705	116.07
76	8801	115.80
77	8907	115.68
78	9011	115.53
79	9110	115.32
80	9710	121.38
81	9280	114.57
82	9370	114.27
83	9475	114.16
84	9588	114.14
85	9700	114.12
86	9879	114.87
87	9895	113.74
88	9995	113.58
89	10097	113.45
90	10206	113.40
91	10308	113.27
92	10415	113.21
93	10514	113.05
94	10618	112.96
95	10722	112.86
96	10828	112.79
97	11008	113.48
98	11026	112.51
99	11131	112.43
100	11250	112.50
101	11343	112.31
102	11464	112.39
103	11564	112.27
104	11670	112.21
105	11775	112.14
106	11887	112.14
107	11989	112.05
108	12289	113.79
109	12225	112.16
110	12483	113.48
111	12520	112.79
112	12501	111.62
113	12595	111.46
114	12702	111.42
115	12802	111.32
116	12920	111.38
117	13154	112.43
118	13207	111.92
119	13252	111.36
120	13336	111.13
121	13438	111.06
122	13549	111.06
123	15025	122.15
124	14494	116.89
125	13910	111.28
126	14002	111.13
127	14451	113.79
128	14248	111.31
129	14342	111.18
130	14519	111.68
131	14519	110.83
132	14613	110.70
133	14720	110.68
134	14816	110.57
135	15003	111.13
136	15149	111.39
137	15122	110.38
138	15228	110.35
139	15329	110.28
140	15470	110.50
141	15561	110.36
142	15645	110.18
143	15742	110.08
144	15847	110.05
145	15964	110.10
146	16072	110.08
147	16314	110.98
148	16270	109.93
149	16375	109.90
150	16474	109.83
151	16653	110.28
152	16682	109.75
153	16785	109.71
154	16885	109.64
155	16991	109.62
156	17096	109.59
157	17356	110.55
158	17314	109.58
159	17420	109.56
160	17520	109.50
161	17634	109.53
162	17780	109.75
163	17839	109.44
164	17951	109.46
165	18058	109.44
166	18239	109.87
167	18280	109.46
168	18373	109.36
169	18474	109.31
170	18573	109.25
171	18672	109.19
172	18777	109.17
173	18881	109.14
174	18984	109.10
175	19169	109.54
176	19209	109.14
177	19310	109.10
178	19408	109.03
179	19534	109.13
180	19653	109.18
181	19721	108.96
182	19833	108.97
183	19928	108.90
184	20098	109.23
185	20141	108.87
186	20242	108.83
187	20341	108.78
188	20447	108.76
189	20555	108.76
190	20780	109.37
191	20768	108.73
192	21626	112.64
193	20960	108.60
194	21063	108.57
195	21191	108.67
196	21273	108.54
197	21426	108.76
198	21490	108.54
199	21591	108.50
200	21718	108.59
201	21786	108.39
202	22008	108.95
203	26971	132.86
204	21980	107.75
205	22082	107.72
206	22187	107.70
207	22345	107.95
208	22441	107.89
209	22543	107.86
210	22639	107.80
211	22829	108.19
212	23006	108.52
213	22986	107.92
214	23052	107.72
215	23192	107.87
216	23253	107.65
217	23359	107.65
218	23466	107.64
219	23564	107.60
220	23677	107.62
221	23853	107.93
222	25096	113.05
223	24021	107.72
224	24121	107.68
