N	Total Time	Average CPE
1	336	336.00
2	178	89.00
3	175	58.33
4	252	63.00
5	343	68.60
6	431	71.83
7	473	67.57
8	609	76.12
9	970	107.78
10	619	61.90
11	755	68.64
12	776	64.67
13	941	72.38
14	933	66.64
15	958	63.87
16	1097	68.56
17	1118	65.76
18	1228	68.22
19	1296	68.21
20	850	42.50
21	344	16.38
22	351	15.95
23	362	15.74
24	379	15.79
25	397	15.88
26	415	15.96
27	429	15.89
28	1099	39.25
29	1784	61.52
30	1819	60.63
31	2160	69.68
32	1887	58.97
33	1955	59.24
34	2263	66.56
35	803	22.94
36	567	15.75
37	584	15.78
38	600	15.79
39	623	15.97
40	637	15.93
41	648	15.80
42	665	15.83
43	685	15.93
44	701	15.93
45	718	15.96
46	730	15.87
47	748	15.91
48	768	16.00
49	781	15.94
50	790	15.80
51	806	15.80
52	819	15.75
53	841	15.87
54	853	15.80
55	868	15.78
56	887	15.84
57	904	15.86
58	915	15.78
59	937	15.88
60	951	15.85
61	959	15.72
62	979	15.79
63	1003	15.92
64	1099	17.17
65	1021	15.71
66	1050	15.91
67	1055	15.75
68	1072	15.76
69	1096	15.88
70	1105	15.79
71	1128	15.89
72	1142	15.86
73	1150	15.75
74	1166	15.76
75	1190	15.87
76	1196	15.74
77	1216	15.79
78	1227	15.73
79	1245	15.76
80	1261	15.76
81	1268	15.65
82	1296	15.80
83	1305	15.72
84	1324	15.76
85	1342	15.79
86	1359	15.80
87	1380	15.86
88	1382	15.70
89	1413	15.88
90	1419	15.77
91	1438	15.80
92	1458	15.85
93	1473	15.84
94	1485	15.80
95	1494	15.73
96	1527	15.91
97	1538	15.86
98	1565	15.97
99	2067	20.88
100	2125	21.25
101	1831	18.13
102	1635	16.03
103	1639	15.91
104	1653	15.89
105	2009	19.13
106	2629	24.80
107	1681	15.71
108	1711	15.84
109	1730	15.87
110	1740	15.82
111	1753	15.79
112	1753	15.65
113	1789	15.83
114	1792	15.72
115	1811	15.75
116	1830	15.78
117	1849	15.80
118	1858	15.75
119	1871	15.72
120	1889	15.74
121	1909	15.78
122	1922	15.75
123	1942	15.79
124	1949	15.72
125	1969	15.75
126	1989	15.79
127	2001	15.76
128	2008	15.69
129	2036	15.78
130	2049	15.76
131	2061	15.73
132	2073	15.70
133	2100	15.79
134	2108	15.73
135	2124	15.73
136	2144	15.76
137	2158	15.75
138	2175	15.76
139	2195	15.79
140	2208	15.77
141	2345	16.63
142	2432	17.13
143	2262	15.82
144	2279	15.83
145	2285	15.76
146	2304	15.78
147	2310	15.71
148	2341	15.82
149	2350	15.77
150	2369	15.79
151	2388	15.81
152	2396	15.76
153	2401	15.69
154	2432	15.79
155	2444	15.77
156	2468	15.82
157	2476	15.77
158	2480	15.70
159	2502	15.74
160	2520	15.75
161	2539	15.77
162	2560	15.80
163	2557	15.69
164	2581	15.74
165	2606	15.79
166	2613	15.74
167	2635	15.78
168	2645	15.74
169	2659	15.73
170	2679	15.76
