N	Total Time	Average CPE
1	313	313.00
2	30	15.00
3	515	171.67
4	49	12.25
5	124	24.80
6	197	32.83
7	146	20.86
8	1057	132.12
9	910	101.11
10	238	23.80
11	259	23.55
12	328	27.33
13	295	22.69
14	1210	86.43
15	383	25.53
16	377	23.56
17	397	23.35
18	470	26.11
19	475	25.00
20	384	19.20
21	271	12.90
22	275	12.50
23	289	12.57
24	299	12.46
25	318	12.72
26	322	12.38
27	336	12.44
28	594	21.21
29	642	22.14
30	740	24.67
31	722	23.29
32	788	24.62
33	942	28.55
34	832	24.47
35	501	14.31
36	439	12.19
37	451	12.19
38	466	12.26
39	475	12.18
40	499	12.47
41	504	12.29
42	510	12.14
43	529	12.30
44	537	12.20
45	552	12.27
46	564	12.26
47	719	15.30
48	590	12.29
49	609	12.43
50	605	12.10
51	626	12.27
52	626	12.04
53	654	12.34
54	656	12.15
55	662	12.04
56	684	12.21
57	700	12.28
58	705	12.16
59	712	12.07
60	739	12.32
61	727	11.92
62	749	12.08
63	767	12.17
64	772	12.06
65	781	12.02
66	806	12.21
67	812	12.12
68	822	12.09
69	845	12.25
70	849	12.13
71	856	12.06
72	876	12.17
73	878	12.03
74	886	11.97
75	915	12.20
76	918	12.08
77	934	12.13
78	943	12.09
79	951	12.04
80	971	12.14
81	967	11.94
82	986	12.02
83	999	12.04
84	1011	12.04
85	1030	12.12
86	1033	12.01
87	1059	12.17
88	1059	12.03
89	1080	12.13
90	1086	12.07
91	1095	12.03
92	1125	12.23
93	1117	12.01
94	1140	12.13
95	1145	12.05
96	1160	12.08
97	1174	12.10
98	1187	12.11
99	1190	12.02
100	2054	20.54
101	1228	12.16
102	1229	12.05
103	1245	12.09
104	1255	12.07
105	1266	12.06
106	1285	12.12
107	1281	11.97
108	1306	12.09
109	1312	12.04
110	1323	12.03
111	1335	12.03
112	1352	12.07
113	1362	12.05
114	1371	12.03
115	1384	12.03
116	1394	12.02
117	1421	12.15
118	1417	12.01
119	1429	12.01
120	1439	11.99
121	1424	11.77
122	1477	12.11
123	1486	12.08
124	1485	11.98
125	1498	11.98
126	1506	11.95
127	1519	11.96
128	1544	12.06
129	1535	11.90
130	1569	12.07
131	1585	12.10
132	1578	11.95
133	1608	12.09
134	1613	12.04
135	1614	11.96
136	1645	12.10
137	1653	12.07
138	1650	11.96
139	1669	12.01
140	1677	11.98
141	1679	11.91
142	1703	11.99
143	1722	12.04
144	1731	12.02
145	1729	11.92
146	1760	12.05
147	1774	12.07
148	1777	12.01
149	1785	11.98
150	1804	12.03
151	1819	12.05
152	1828	12.03
153	1833	11.98
154	1854	12.04
155	2865	18.48
156	4607	29.53
157	3471	22.11
158	1902	12.04
159	1915	12.04
160	2780	17.38
161	1921	11.93
162	1948	12.02
163	1945	11.93
164	1973	12.03
165	1986	12.04
166	1987	11.97
167	2006	12.01
168	2013	11.98
169	2031	12.02
170	2047	12.04
171	2071	12.11
172	2073	12.05
173	2079	12.02
174	2085	11.98
175	2096	11.98
176	2081	11.82
177	2116	11.95
178	2137	12.01
179	2153	12.03
180	2143	11.91
181	2162	11.94
182	2188	12.02
183	2199	12.02
184	2210	12.01
185	2230	12.05
186	2226	11.97
187	2252	12.04
188	2265	12.05
189	2266	11.99
190	2284	12.02
191	2301	12.05
192	2306	12.01
193	2326	12.05
194	2331	12.02
195	2345	12.03
196	2358	12.03
197	2367	12.02
198	2389	12.07
199	2387	11.99
200	4101	20.50
201	2414	12.01
202	2422	11.99
203	2438	12.01
204	2456	12.04
205	2471	12.05
206	2480	12.04
207	2483	12.00
208	2508	12.06
209	2515	12.03
210	2530	12.05
211	2540	12.04
212	2540	11.98
213	2569	12.06
214	2584	12.07
215	2578	11.99
216	2597	12.02
217	2613	12.04
218	2626	12.05
219	2630	12.01
220	2630	11.95
221	2631	11.90
222	2668	12.02
223	2683	12.03
224	2700	12.05
225	2665	11.84
226	2728	12.07
227	2733	12.04
228	2738	12.01
229	2758	12.04
230	2772	12.05
231	2850	12.34
232	2792	12.03
233	2800	12.02
234	2812	12.02
235	2829	12.04
236	2840	12.03
237	2855	12.05
238	2909	12.22
239	4900	20.50
240	2918	12.16
241	2957	12.27
242	3782	15.63
243	2922	12.02
244	2938	12.04
245	2941	12.00
246	2958	12.02
247	2978	12.06
248	2985	12.04
249	2984	11.98
250	2964	11.86
251	3018	12.02
252	3031	12.03
253	3043	12.03
254	3053	12.02
255	3063	12.01
256	3080	12.03
257	3093	12.04
258	3102	12.02
259	3110	12.01
260	3096	11.91
261	3120	11.95
262	3144	12.00
263	3167	12.04
264	3174	12.02
265	3197	12.06
266	3199	12.03
267	3211	12.03
268	3215	12.00
269	3236	12.03
270	3242	12.01
271	3263	12.04
272	3268	12.01
273	3281	12.02
274	3307	12.07
275	3296	11.99
276	3324	12.04
277	3327	12.01
278	3341	12.02
279	3356	12.03
280	3330	11.89
281	3363	11.97
282	3387	12.01
283	3398	12.01
284	3423	12.05
285	3414	11.98
286	3440	12.03
287	6662	23.21
288	3518	12.22
289	3566	12.34
290	3508	12.10
291	3510	12.06
292	3523	12.07
293	3543	12.09
294	3559	12.11
295	3563	12.08
296	6242	21.09
297	4298	14.47
298	3590	12.05
299	3612	12.08
300	5145	17.15
301	3620	12.03
302	3630	12.02
303	3647	12.04
304	3662	12.05
305	3680	12.07
306	3685	12.04
307	3704	12.07
308	3696	12.00
309	3726	12.06
310	3738	12.06
311	3745	12.04
312	3767	12.07
313	3876	12.38
314	5936	18.90
315	3969	12.60
316	3797	12.02
317	3810	12.02
318	3809	11.98
319	3832	12.01
320	3814	11.92
321	3845	11.98
322	3874	12.03
323	3876	12.00
324	3886	11.99
325	3891	11.97
326	3913	12.00
327	3935	12.03
328	3938	12.01
329	3953	12.02
330	3964	12.01
331	3975	12.01
332	4096	12.34
333	3997	12.00
334	3997	11.97
335	4027	12.02
336	4031	12.00
337	4037	11.98
338	4056	12.00
339	4087	12.06
340	4051	11.91
341	4101	12.03
342	4116	12.04
343	4110	11.98
344	4126	11.99
345	4147	12.02
346	4158	12.02
347	4155	11.97
348	4174	11.99
349	4189	12.00
350	4210	12.03
351	4214	12.01
352	4223	12.00
353	4243	12.02
354	4242	11.98
355	4258	11.99
356	4269	11.99
357	4279	11.99
358	4303	12.02
359	4324	12.04
360	5878	16.33
361	4336	12.01
362	4336	11.98
363	4366	12.03
364	4374	12.02
365	4372	11.98
366	6362	17.38
367	5365	14.62
368	4415	12.00
369	4420	11.98
370	4433	11.98
371	4467	12.04
372	4461	11.99
373	4479	12.01
374	4576	12.24
375	4543	12.11
376	4571	12.16
377	4542	12.05
378	7525	19.91
379	4553	12.01
380	4515	11.88
381	4579	12.02
382	4580	11.99
383	4596	12.00
384	4620	12.03
385	4621	12.00
386	4647	12.04
387	4653	12.02
388	4654	11.99
389	4672	12.01
390	4682	12.01
391	4699	12.02
392	4716	12.03
393	4723	12.02
394	4720	11.98
395	4733	11.98
396	4753	12.00
397	4763	12.00
398	4777	12.00
399	4777	11.97
400	4738	11.85
401	4774	11.91
402	4822	12.00
403	4837	12.00
404	4849	12.00
405	4859	12.00
406	4878	12.01
407	4888	12.01
408	4908	12.03
409	4898	11.98
410	5083	12.40
411	4929	11.99
412	4951	12.02
413	4955	12.00
414	4968	12.00
415	4990	12.02
416	4989	11.99
417	4998	11.99
