N	Total Time	Average CPE
2048	22457	10.97
6144	70864	11.53
10240	103352	10.09
14336	140008	9.77
18432	179038	9.71
22528	208218	9.24
26624	231222	8.68
30720	281276	9.16
34816	301892	8.67
38912	336819	8.66
43008	394796	9.18
47104	408128	8.66
51200	429463	8.39
55296	460312	8.32
59392	482496	8.12
63488	516007	8.13
67584	548904	8.12
71680	582225	8.12
75776	631914	8.34
79872	648735	8.12
83968	747302	8.90
88064	752401	8.54
92160	809446	8.78
96256	958025	9.95
100352	886546	8.83
104448	942215	9.02
108544	944370	8.70
112640	981127	8.71
116736	978540	8.38
120832	984312	8.15
124928	1039733	8.32
129024	1057229	8.19
133120	1081754	8.13
137216	1168431	8.52
141312	1248478	8.83
145408	1201500	8.26
149504	1214608	8.12
153600	1248113	8.13
157696	1307236	8.29
161792	1314063	8.12
165888	1355571	8.17
169984	1381091	8.12
174080	1421973	8.17
178176	1456117	8.17
182272	1480682	8.12
186368	1513673	8.12
190464	1546867	8.12
194560	1580666	8.12
198656	1613689	8.12
202752	1647037	8.12
206848	1744639	8.43
210944	1721483	8.16
215040	1747150	8.12
219136	1780154	8.12
223232	1956184	8.76
227328	1847257	8.13
231424	1880527	8.13
235520	1913206	8.12
239616	1946798	8.12
243712	2032779	8.34
247808	2039090	8.23
251904	2075067	8.24
256000	2081238	8.13
260096	2115307	8.13
264192	2145833	8.12
268288	2213910	8.25
272384	2239380	8.22
276480	2266740	8.20
280576	2370067	8.45
284672	2342449	8.23
288768	2413366	8.36
292864	2430108	8.30
296960	2488092	8.38
301056	2607616	8.66
305152	2485035	8.14
309248	2638509	8.53
313344	2755814	8.79
317440	2578236	8.12
321536	2630292	8.18
325632	2645775	8.13
329728	2680052	8.13
333824	2731064	8.18
337920	2850511	8.44
342016	2799943	8.19
346112	2811787	8.12
350208	2845114	8.12
354304	2886158	8.15
358400	2928746	8.17
362496	2944289	8.12
366592	2980261	8.13
370688	3011354	8.12
374784	3044500	8.12
378880	3124174	8.25
382976	3257662	8.51
387072	3170298	8.19
391168	3324428	8.50
395264	3274749	8.28
399360	3245951	8.13
403456	3376164	8.37
407552	3378543	8.29
411648	3419201	8.31
415744	3492092	8.40
419840	3433165	8.18
423936	3461560	8.17
428032	3549426	8.29
432128	3579081	8.28
436224	3677944	8.43
440320	3577210	8.12
444416	3739175	8.41
448512	3795678	8.46
452608	3908935	8.64
456704	3750721	8.21
460800	3745672	8.13
464896	3801836	8.18
468992	3809974	8.12
473088	3851491	8.14
477184	3899132	8.17
481280	4129051	8.58
485376	3963449	8.17
489472	4014866	8.20
493568	4009975	8.12
497664	4043270	8.12
501760	4077142	8.13
505856	4270156	8.44
509952	4143308	8.12
514048	4176063	8.12
518144	4209218	8.12
522240	4242914	8.12
526336	4279678	8.13
530432	4385289	8.27
534528	4343434	8.13
538624	4376353	8.13
542720	4420178	8.14
546816	4442235	8.12
550912	4476418	8.13
555008	4508714	8.12
559104	4542094	8.12
563200	4575437	8.12
567296	4609098	8.12
571392	4663280	8.16
575488	4676523	8.13
579584	4708932	8.12
583680	5111276	8.76
587776	4991530	8.49
591872	4828616	8.16
595968	4922833	8.26
600064	5071288	8.45
604160	5089556	8.42
608256	5203285	8.55
612352	5247302	8.57
616448	5119947	8.31
620544	5209671	8.40
624640	5074702	8.12
628736	5109419	8.13
632832	5150194	8.14
636928	5181569	8.14
641024	5420803	8.46
645120	5428718	8.42
649216	5396399	8.31
653312	5340963	8.18
657408	5386050	8.19
661504	5375066	8.13
665600	5407033	8.12
669696	5441647	8.13
673792	5483687	8.14
677888	5528466	8.16
681984	5540783	8.12
686080	5575932	8.13
690176	5608686	8.13
694272	5640482	8.12
698368	5677302	8.13
702464	5763681	8.20
706560	5793770	8.20
710656	5773829	8.12
714752	5805924	8.12
718848	5839179	8.12
722944	6092275	8.43
727040	5922367	8.15
731136	5979125	8.18
735232	6045021	8.22
739328	6007053	8.13
743424	6098027	8.20
747520	6073811	8.13
751616	6106464	8.12
755712	6139661	8.12
759808	6340665	8.35
763904	6207830	8.13
768000	6239939	8.12
772096	6273270	8.12
776192	6355493	8.19
780288	6414479	8.22
784384	6388276	8.14
788480	6410913	8.13
792576	6440335	8.13
796672	6481616	8.14
800768	6510048	8.13
804864	6540092	8.13
808960	6571942	8.12
813056	6636496	8.16
817152	6647033	8.13
821248	6737449	8.20
825344	6706268	8.13
829440	6779540	8.17
833536	6781035	8.14
837632	6807203	8.13
841728	6855507	8.14
845824	6872654	8.13
849920	7112482	8.37
854016	6940171	8.13
858112	6987270	8.14
862208	7026924	8.15
866304	7065357	8.16
870400	7073731	8.13
874496	7115239	8.14
878592	7219803	8.22
882688	7173759	8.13
886784	7213416	8.13
890880	7238710	8.13
894976	7334906	8.20
899072	7322971	8.15
903168	7336005	8.12
907264	7395465	8.15
911360	7413012	8.13
915456	7441246	8.13
919552	7544562	8.20
923648	7504144	8.12
927744	7545183	8.13
931840	8022840	8.61
935936	7633914	8.16
940032	7649031	8.14
944128	7688409	8.14
948224	7703808	8.12
952320	7737592	8.12
956416	7812717	8.17
960512	7819685	8.14
964608	7852761	8.14
968704	7905203	8.16
972800	7995811	8.22
976896	7952955	8.14
980992	7979343	8.13
985088	8004252	8.13
989184	8037617	8.13
993280	8091549	8.15
997376	8103514	8.12
1001472	8136596	8.12
1005568	8182457	8.14
1009664	8246938	8.17
1013760	8330976	8.22
1017856	8360890	8.21
1021952	8395959	8.22
1026048	8403937	8.19
1030144	8374683	8.13
1034240	8420046	8.14
1038336	8462371	8.15
1042432	8478290	8.13
1046528	8707209	8.32
