N	Total Time	Average CPE
2048	22885	11.17
6144	71469	11.63
10240	113691	11.10
14336	148953	10.39
18432	205579	11.15
22528	241314	10.71
26624	279858	10.51
30720	310691	10.11
34816	348491	10.01
38912	332451	8.54
43008	367811	8.55
47104	405167	8.60
51200	438651	8.57
55296	472351	8.54
59392	507766	8.55
63488	568270	8.95
67584	748477	11.07
71680	790142	11.02
75776	861519	11.37
79872	880903	11.03
83968	768710	9.15
88064	823292	9.35
92160	855147	9.28
96256	1089842	11.32
100352	1235792	12.31
104448	1084788	10.39
108544	1079987	9.95
112640	954413	8.47
116736	1128527	9.67
120832	1295077	10.72
124928	1189338	9.52
129024	1301492	10.09
133120	1481780	11.13
137216	1563919	11.40
141312	1209478	8.56
145408	1348462	9.27
149504	1561736	10.45
153600	1551774	10.10
157696	1315330	8.34
161792	1314819	8.13
165888	1427597	8.61
169984	1439709	8.47
174080	1455057	8.36
178176	1450131	8.14
182272	1483001	8.14
186368	1515695	8.13
190464	1551438	8.15
194560	1618867	8.32
198656	1682608	8.47
202752	1682568	8.30
206848	1681333	8.13
210944	1714609	8.13
215040	1766174	8.21
219136	1781305	8.13
223232	1813165	8.12
227328	1877456	8.26
231424	1881277	8.13
235520	1913342	8.12
239616	1946487	8.12
243712	1980244	8.13
247808	2013922	8.13
251904	2047141	8.13
256000	2097667	8.19
260096	2113223	8.12
264192	2147742	8.13
268288	2180243	8.13
272384	2214122	8.13
276480	2274169	8.23
280576	2279718	8.13
284672	2320731	8.15
288768	2346029	8.12
292864	2395995	8.18
296960	2414330	8.13
301056	2714162	9.02
305152	2532959	8.30
309248	2538818	8.21
313344	2546640	8.13
317440	2579137	8.12
321536	2612382	8.12
325632	2670384	8.20
329728	2769357	8.40
333824	2719428	8.15
337920	2746033	8.13
342016	2787175	8.15
346112	2828833	8.17
350208	2846754	8.13
354304	2879853	8.13
358400	2912250	8.13
362496	2946497	8.13
366592	3097508	8.45
370688	3011925	8.13
374784	3045549	8.13
378880	3102489	8.19
382976	3129532	8.17
387072	3184354	8.23
391168	3202852	8.19
395264	3243277	8.21
399360	3270050	8.19
403456	3278634	8.13
407552	3383733	8.30
411648	3344317	8.12
415744	3376829	8.12
419840	3416084	8.14
423936	3460125	8.16
428032	3572111	8.35
432128	3511419	8.13
436224	3544151	8.12
440320	3577453	8.12
444416	3631317	8.17
448512	3643408	8.12
452608	3999747	8.84
456704	3711408	8.13
460800	3744236	8.13
464896	3777864	8.13
468992	3955208	8.43
473088	3869393	8.18
477184	4018497	8.42
481280	3918385	8.14
485376	3945901	8.13
489472	3977439	8.13
493568	4101282	8.31
497664	4052784	8.14
501760	4086123	8.14
505856	4114793	8.13
509952	4160652	8.16
514048	4176644	8.13
518144	4211178	8.13
522240	4269506	8.18
526336	4329213	8.23
530432	4320161	8.14
534528	4413187	8.26
538624	4376920	8.13
542720	4505718	8.30
546816	5736823	10.49
550912	4695763	8.52
555008	4797129	8.64
559104	4542536	8.12
563200	4597379	8.16
567296	4610917	8.13
571392	4678732	8.19
575488	4701155	8.17
579584	4717377	8.14
583680	4877549	8.36
587776	4876294	8.30
591872	4809397	8.13
595968	4866956	8.17
600064	5125716	8.54
604160	4909597	8.13
608256	4940723	8.12
612352	5020290	8.20
616448	5115045	8.30
620544	5043441	8.13
624640	5083740	8.14
628736	5109853	8.13
632832	5142399	8.13
636928	5176460	8.13
641024	5243424	8.18
645120	5241330	8.12
649216	5273136	8.12
653312	5307738	8.12
657408	5341725	8.13
661504	5376167	8.13
665600	5409635	8.13
669696	5441945	8.13
673792	5519999	8.19
677888	5507786	8.12
681984	5554063	8.14
686080	5645160	8.23
690176	5790889	8.39
694272	5757324	8.29
698368	5904413	8.45
702464	5859509	8.34
706560	5791584	8.20
710656	5842629	8.22
714752	5960922	8.34
718848	6037111	8.40
722944	6036705	8.35
727040	6000474	8.25
731136	5958875	8.15
735232	5975708	8.13
739328	6057047	8.19
743424	6090154	8.19
747520	6244941	8.35
751616	6120760	8.14
755712	6152332	8.14
759808	6174520	8.13
763904	6214938	8.14
768000	6368802	8.29
772096	6272517	8.12
776192	6310020	8.13
780288	6340284	8.13
784384	6372569	8.12
788480	6407381	8.13
792576	6439928	8.13
796672	6472759	8.12
800768	6507096	8.13
804864	6540499	8.13
808960	6573770	8.13
813056	6627338	8.15
817152	6642786	8.13
821248	6695301	8.15
825344	6705966	8.13
829440	6828913	8.23
833536	6824529	8.19
837632	6818488	8.14
841728	6839660	8.13
845824	6872732	8.13
849920	6946134	8.17
854016	6956795	8.15
858112	6993037	8.15
862208	7103065	8.24
866304	7161033	8.27
870400	7071894	8.12
874496	7184309	8.22
878592	7278074	8.28
882688	7305331	8.28
886784	7324088	8.26
890880	7258355	8.15
894976	7418701	8.29
899072	7353565	8.18
903168	7340477	8.13
907264	7372572	8.13
911360	7415964	8.14
915456	7438062	8.12
919552	7471976	8.13
923648	7517148	8.14
927744	7573798	8.16
931840	7617586	8.17
935936	7616465	8.14
940032	7658075	8.15
944128	7709830	8.17
948224	7753495	8.18
952320	7763523	8.15
956416	7814622	8.17
960512	7842178	8.16
964608	8002153	8.30
968704	7889648	8.14
972800	7909292	8.13
976896	7954385	8.14
980992	8181981	8.34
985088	8199114	8.32
989184	8095524	8.18
993280	8093954	8.15
997376	8187287	8.21
1001472	8475196	8.46
1005568	8292084	8.25
1009664	8217592	8.14
1013760	8284983	8.17
1017856	8273761	8.13
1021952	8311703	8.13
1026048	8336531	8.12
1030144	8370487	8.13
1034240	8403980	8.13
1038336	8482515	8.17
1042432	8559061	8.21
1046528	8512440	8.13
