N	Total Time	Average CPE
2048	16536	8.07
6144	50732	8.26
10240	89135	8.70
14336	129857	9.06
18432	185274	10.05
22528	307659	13.66
26624	401188	15.07
30720	515679	16.79
34816	651890	18.72
38912	733516	18.85
43008	841989	19.58
47104	950437	20.18
51200	1052216	20.55
55296	1182665	21.39
59392	1270350	21.39
63488	1380251	21.74
67584	1488595	22.03
71680	1597648	22.29
75776	1706721	22.52
79872	1816333	22.74
83968	1923269	22.90
88064	2050516	23.28
92160	2171375	23.56
96256	2312273	24.02
100352	2421913	24.13
104448	2536100	24.28
108544	2696993	24.85
112640	2826668	25.09
116736	2947305	25.25
120832	3078153	25.47
124928	3213487	25.72
129024	3238360	25.10
133120	3285209	24.68
137216	3345270	24.38
141312	3454017	24.44
145408	3598805	24.75
149504	3785490	25.32
153600	3805305	24.77
157696	3885537	24.64
161792	4039512	24.97
165888	4211650	25.39
169984	4268160	25.11
174080	4675743	26.86
178176	4624275	25.95
182272	4828836	26.49
186368	4846326	26.00
190464	4940055	25.94
194560	5008364	25.74
198656	8052022	40.53
202752	5827889	28.74
206848	5202860	25.15
210944	5403883	25.62
215040	5644819	26.25
219136	5520451	25.19
223232	5854848	26.23
227328	5902650	25.97
231424	5910054	25.54
235520	6173252	26.21
239616	6786573	28.32
243712	6356122	26.08
247808	6442497	26.00
251904	6423444	25.50
256000	6560614	25.63
260096	7010486	26.95
264192	7000969	26.50
268288	7438107	27.72
272384	7287458	26.75
276480	7406691	26.79
280576	7407717	26.40
284672	7477256	26.27
288768	7677867	26.59
292864	7989215	27.28
296960	8322036	28.02
301056	8022058	26.65
305152	8292249	27.17
309248	8466697	27.38
313344	8294404	26.47
317440	8558231	26.96
321536	8858002	27.55
325632	8977133	27.57
329728	9098840	27.59
333824	9215839	27.61
337920	9832327	29.10
342016	9536866	27.88
346112	9551818	27.60
350208	10090311	28.81
354304	10341586	29.19
358400	10045594	28.03
362496	11249291	31.03
366592	10841736	29.57
370688	10881383	29.35
374784	10939513	29.19
378880	11948189	31.54
382976	11208650	29.27
387072	11557311	29.86
391168	12618112	32.26
395264	13152887	33.28
399360	12548195	31.42
403456	12720425	31.53
407552	12822825	31.46
411648	14294999	34.73
415744	13283097	31.95
419840	13788836	32.84
423936	14067790	33.18
428032	14938537	34.90
432128	15687401	36.30
436224	16137308	36.99
440320	15463980	35.12
444416	16219957	36.50
448512	16878969	37.63
452608	16129575	35.64
456704	16884994	36.97
460800	19082665	41.41
464896	18749986	40.33
468992	19359299	41.28
473088	19446900	41.11
477184	19559331	40.99
481280	19677396	40.89
485376	21085705	43.44
489472	21474169	43.87
493568	22270335	45.12
497664	24193023	48.61
501760	23588785	47.01
505856	24059755	47.56
509952	26745681	52.45
514048	24189993	47.06
518144	27757137	53.57
522240	29699434	56.87
526336	28404518	53.97
530432	29548942	55.71
534528	28161428	52.68
538624	30569916	56.76
542720	30727562	56.62
546816	31288785	57.22
550912	32727861	59.41
555008	31618675	56.97
559104	33916740	60.66
563200	33016255	58.62
567296	33632654	59.29
571392	34300298	60.03
575488	39937196	69.40
