N	Total Time	Average CPE
2048	19700	9.62
6144	56367	9.17
10240	85477	8.35
14336	122517	8.55
18432	189608	10.29
22528	300106	13.32
26624	434375	16.32
30720	536143	17.45
34816	645148	18.53
38912	731034	18.79
43008	852307	19.82
47104	974057	20.68
51200	1046145	20.43
55296	1156288	20.91
59392	1262433	21.26
63488	1371888	21.61
67584	1480009	21.90
71680	1590839	22.19
75776	1741000	22.98
79872	1853952	23.21
83968	1962959	23.38
88064	2078241	23.60
92160	2251866	24.43
96256	2362308	24.54
100352	2383965	23.76
104448	2506029	23.99
108544	2636993	24.29
112640	2745745	24.38
116736	2851750	24.43
120832	2983199	24.69
124928	3160129	25.30
129024	3332739	25.83
133120	3346113	25.14
137216	3464101	25.25
141312	3583223	25.36
145408	3770370	25.93
149504	3812801	25.50
153600	3804166	24.77
157696	3936724	24.96
161792	4081196	25.22
165888	4339252	26.16
169984	4543943	26.73
174080	4505098	25.88
178176	4662071	26.17
182272	4826920	26.48
186368	4880917	26.19
190464	4910434	25.78
194560	5081790	26.12
198656	5207084	26.21
202752	5384223	26.56
206848	5572569	26.94
210944	5287582	25.07
215040	5386307	25.05
219136	5490151	25.05
223232	5763556	25.82
227328	5853847	25.75
231424	10248019	44.28
235520	5979547	25.39
239616	6298228	26.28
243712	6313488	25.91
247808	6252550	25.23
251904	6358859	25.24
256000	6590656	25.74
260096	6813455	26.20
264192	6874615	26.02
268288	6994653	26.07
272384	6948722	25.51
276480	7100311	25.68
280576	7274665	25.93
284672	7650565	26.88
288768	7553169	26.16
292864	7657810	26.15
296960	7978793	26.87
301056	8444441	28.05
305152	8310953	27.24
309248	8203747	26.53
313344	8133804	25.96
317440	8662332	27.29
321536	8492969	26.41
325632	8670900	26.63
329728	9016150	27.34
333824	9580323	28.70
337920	9588490	28.38
342016	9242064	27.02
346112	9639274	27.85
350208	9611108	27.44
354304	9737480	27.48
358400	9928644	27.70
362496	9528980	26.29
366592	10528025	28.72
370688	10428910	28.13
374784	10601409	28.29
378880	11225101	29.63
382976	11760420	30.71
387072	10796170	27.89
391168	11254861	28.77
395264	11657780	29.49
399360	13338252	33.40
403456	12674218	31.41
407552	13155986	32.28
411648	12409986	30.15
415744	12913572	31.06
419840	15397275	36.67
423936	12579671	29.67
428032	15160175	35.42
432128	15847865	36.67
436224	15211103	34.87
440320	16382027	37.20
444416	17215924	38.74
448512	18452496	41.14
452608	19189011	42.40
456704	18665664	40.87
460800	18501062	40.15
464896	20016822	43.06
