N	Total Time	Average CPE
2048	19480	9.51
6144	61803	10.06
10240	108470	10.59
14336	161082	11.24
18432	233361	12.66
22528	363921	16.15
26624	505033	18.97
30720	665793	21.67
34816	825992	23.72
38912	772703	19.86
43008	897027	20.86
47104	1012914	21.50
51200	1107691	21.63
55296	1264869	22.87
59392	1325574	22.32
63488	1440072	22.68
67584	1552457	22.97
71680	1667501	23.26
75776	2112923	27.88
79872	2730673	34.19
83968	2439922	29.06
88064	2395837	27.21
92160	2167906	23.52
96256	2242978	23.30
100352	2350639	23.42
104448	2457845	23.53
108544	2567910	23.66
112640	2675004	23.75
116736	2803204	24.01
120832	2894349	23.95
124928	3018322	24.16
129024	3201126	24.81
133120	3377268	25.37
137216	3486708	25.41
141312	3644976	25.79
145408	3633509	24.99
149504	3651775	24.43
153600	3762767	24.50
157696	4072015	25.82
161792	4204150	25.98
165888	4373658	26.37
169984	4298372	25.29
174080	4310271	24.76
178176	4436568	24.90
182272	4647018	25.49
186368	4681992	25.12
190464	4876070	25.60
194560	4979256	25.59
198656	5139601	25.87
202752	5181979	25.56
206848	5403426	26.12
210944	5479530	25.98
215040	5554254	25.83
219136	5879007	26.83
223232	5701022	25.54
227328	5891002	25.91
231424	6029599	26.05
235520	6379809	27.09
239616	6402263	26.72
243712	6363646	26.11
247808	6681749	26.96
251904	6578152	26.11
256000	7079696	27.66
260096	6714622	25.82
264192	6732315	25.48
268288	6881573	25.65
272384	7039131	25.84
276480	7235883	26.17
280576	7464992	26.61
284672	7663259	26.92
288768	7766282	26.89
292864	7636706	26.08
296960	7943574	26.75
301056	8238332	27.36
305152	7984938	26.17
309248	8160960	26.39
313344	8342388	26.62
317440	8293178	26.13
321536	8455526	26.30
325632	9775475	30.02
329728	9878651	29.96
333824	9572688	28.68
337920	9138109	27.04
342016	9420426	27.54
346112	9873251	28.53
350208	10600785	30.27
354304	10081641	28.45
358400	10210222	28.49
362496	10006396	27.60
366592	10243597	27.94
370688	10136304	27.34
374784	11113812	29.65
378880	12362680	32.63
382976	12024538	31.40
387072	12283765	31.74
391168	12145144	31.05
395264	12531250	31.70
399360	12775014	31.99
403456	14736143	36.52
407552	14349489	35.21
411648	14771701	35.88
415744	14658891	35.26
419840	14741273	35.11
423936	14204494	33.51
428032	15276695	35.69
432128	15185835	35.14
436224	16099069	36.91
440320	18665007	42.39
444416	17585985	39.57
448512	17869974	39.84
452608	18588751	41.07
456704	18697957	40.94
460800	18793921	40.79
464896	19641920	42.25
468992	20424503	43.55
473088	19906928	42.08
477184	22177149	46.48
481280	21816504	45.33
485376	22776504	46.93
489472	23619843	48.26
493568	23921765	48.47
497664	24249370	48.73
501760	26064671	51.95
505856	26905356	53.19
509952	26240755	51.46
514048	28719952	55.87
518144	27781838	53.62
522240	28207457	54.01
526336	28616850	54.37
530432	28676654	54.06
534528	29212720	54.65
538624	30513288	56.65
542720	29807281	54.92
546816	32095161	58.69
550912	33358286	60.55
555008	31780588	57.26
559104	31833725	56.94
563200	32344918	57.43
567296	36351824	64.08
571392	33426306	58.50
575488	35752940	62.13
579584	37241459	64.26
583680	36070059	61.80
587776	37072268	63.07
591872	38476115	65.01
595968	37460728	62.86
600064	38616112	64.35
604160	40161802	66.48
608256	41476453	68.19
612352	39679839	64.80
616448	40211650	65.23
620544	41384378	66.69
624640	41976377	67.20
628736	42785657	68.05
632832	44159770	69.78
636928	43056279	67.60
641024	44247906	69.03
645120	49431536	76.62
649216	45692688	70.38
653312	50445062	77.21
657408	46170143	70.23
661504	48492537	73.31
665600	54144882	81.35
669696	54025753	80.67
673792	53450589	79.33
677888	50032124	73.81
681984	53243272	78.07
686080	52968625	77.20
690176	54213432	78.55
694272	54688627	78.77
698368	58114602	83.21
702464	61709363	87.85
706560	64212453	90.88
710656	62580293	88.06
714752	63142025	88.34
718848	63087695	87.76
722944	62149078	85.97
727040	63245285	86.99
731136	63371441	86.68
735232	63442533	86.29
739328	68530083	92.69
743424	68213632	91.76
747520	67701388	90.57
751616	69090378	91.92
755712	70442278	93.21
759808	74014373	97.41
763904	72369442	94.74
768000	73554905	95.77
772096	74541152	96.54
776192	81066838	104.44
780288	80977586	103.78
784384	79721385	101.64
788480	79136027	100.37
792576	79815271	100.70
796672	82271496	103.27
800768	87455494	109.21
804864	86688274	107.71
808960	86837298	107.34
813056	85888300	105.64
817152	91514455	111.99
821248	89925805	109.50
825344	90980851	110.23
829440	91149213	109.89
833536	91297370	109.53
837632	94478359	112.79
841728	94949001	112.80
845824	95554169	112.97
849920	97194748	114.36
854016	95402543	111.71
858112	100702302	117.35
862208	100182726	116.19
866304	98868792	114.13
870400	104394422	119.94
874496	102926314	117.70
878592	103465603	117.76
882688	103786822	117.58
886784	105330163	118.78
890880	109656000	123.09
894976	109110742	121.91
899072	113106489	125.80
903168	110473365	122.32
